Date and Time,O'Connell St Outside Clerys,O'Connell St Outside Pennys,Grafton Street,Henry Street
01/01/2008 00:00,1429,1013,1560,467
01/01/2008 01:00,1044,1075,1546,349
01/01/2008 02:00,1272,1287,1841,261
01/01/2008 03:00,1364,1544,1744,286
01/01/2008 04:00,460,405,691,152
01/01/2008 05:00,191,87,185,76
01/01/2008 06:00,163,97,169,81
01/01/2008 07:00,248,178,207,115
01/01/2008 08:00,186,155,168,151
01/01/2008 09:00,400,310,357,223
01/01/2008 10:00,773,515,842,695
01/01/2008 11:00,1133,915,1682,1260
01/01/2008 12:00,1541,1312,2727,2286
01/01/2008 13:00,1713,1372,3506,2670
01/01/2008 14:00,1631,1829,4448,3175
01/01/2008 15:00,1908,2038,4937,3293
01/01/2008 16:00,2191,2203,5061,2904
01/01/2008 17:00,2252,2128,3867,2121
01/01/2008 18:00,1678,1719,2946,1427
01/01/2008 19:00,1430,1608,1605,877
01/01/2008 20:00,1452,1385,1195,661
01/01/2008 21:00,1044,1065,944,382
01/01/2008 22:00,955,938,971,248
01/01/2008 23:00,608,713,496,187
02/01/2008 00:00,439,232,331,136
02/01/2008 01:00,155,260,145,48
02/01/2008 02:00,93,167,122,66
02/01/2008 03:00,113,106,101,157
02/01/2008 04:00,49,68,126,69
02/01/2008 05:00,114,75,217,275
02/01/2008 06:00,402,257,497,407
02/01/2008 07:00,1096,712,1123,594
02/01/2008 08:00,1785,1161,2558,1581
02/01/2008 09:00,1424,1292,1859,2013
02/01/2008 10:00,1989,2116,2277,2688
02/01/2008 11:00,2640,3273,3832,5081
02/01/2008 12:00,3695,5039,7566,8013
02/01/2008 13:00,4420,6876,11998,11364
02/01/2008 14:00,4782,6914,11461,10846
02/01/2008 15:00,4322,7289,11152,11159
02/01/2008 16:00,4392,7506,11455,9940
02/01/2008 17:00,4401,6930,11454,7788
02/01/2008 18:00,3333,5423,6671,4873
02/01/2008 19:00,2013,3342,2709,2165
02/01/2008 20:00,1689,2223,1409,965
02/01/2008 21:00,965,1418,936,507
02/01/2008 22:00,1041,1118,930,352
02/01/2008 23:00,696,716,545,236
03/01/2008 00:00,313,238,359,107
03/01/2008 01:00,157,259,174,39
03/01/2008 02:00,134,164,160,102
03/01/2008 03:00,140,105,165,51
03/01/2008 04:00,69,37,136,109
03/01/2008 05:00,132,76,247,207
03/01/2008 06:00,530,289,523,427
03/01/2008 07:00,1127,630,1328,820
03/01/2008 08:00,1883,1075,3058,1295
03/01/2008 09:00,1633,1126,1860,1646
03/01/2008 10:00,2070,1948,2269,2892
03/01/2008 11:00,3145,2738,3525,4507
03/01/2008 12:00,6339,4551,6877,6730
03/01/2008 13:00,9289,5970,10452,9295
03/01/2008 14:00,3683,5191,8521,8195
03/01/2008 15:00,4631,6065,8631,8526
03/01/2008 16:00,4141,6947,10120,8234
03/01/2008 17:00,4486,7820,11116,7845
03/01/2008 18:00,3442,6455,8628,5122
03/01/2008 19:00,2159,4718,4962,2789
03/01/2008 20:00,1790,2713,2728,1804
03/01/2008 21:00,1263,1236,1347,850
03/01/2008 22:00,1164,867,919,421
03/01/2008 23:00,731,574,640,216
04/01/2008 00:00,344,337,391,124
04/01/2008 01:00,253,384,157,64
04/01/2008 02:00,173,292,219,31
04/01/2008 03:00,124,136,167,126
04/01/2008 04:00,54,39,170,79
04/01/2008 05:00,107,74,246,185
04/01/2008 06:00,453,251,562,401
04/01/2008 07:00,1040,586,1036,825
04/01/2008 08:00,1711,1168,3007,1541
04/01/2008 09:00,1620,1340,2266,2101
04/01/2008 10:00,2202,1831,2526,2691
04/01/2008 11:00,4580,2723,3266,4052
04/01/2008 12:00,7466,4603,6169,5410
04/01/2008 13:00,7153,5645,8563,7023
04/01/2008 14:00,4073,5058,6731,6368
04/01/2008 15:00,3307,6191,6868,6415
04/01/2008 16:00,3420,6434,8671,7033
04/01/2008 17:00,4392,7090,10668,7464
04/01/2008 18:00,2832,6220,6992,4842
04/01/2008 19:00,2001,4911,3292,2396
04/01/2008 20:00,1802,3066,1941,1138
04/01/2008 21:00,1068,1318,1431,599
04/01/2008 22:00,1213,961,1391,424
04/01/2008 23:00,804,627,1098,223
05/01/2008 00:00,391,325,760,151
05/01/2008 01:00,223,364,522,100
05/01/2008 02:00,261,313,384,74
05/01/2008 03:00,290,220,470,135
05/01/2008 04:00,64,51,203,48
05/01/2008 05:00,98,46,183,130
05/01/2008 06:00,236,104,334,265
05/01/2008 07:00,393,280,500,280
05/01/2008 08:00,456,459,827,687
05/01/2008 09:00,635,733,1107,1239
05/01/2008 10:00,1242,1920,2051,2765
05/01/2008 11:00,3684,3345,3976,4645
05/01/2008 12:00,5832,3383,6350,6865
05/01/2008 13:00,5788,4457,7451,7571
05/01/2008 14:00,2510,5496,8416,9283
05/01/2008 15:00,2984,6274,10687,10323
05/01/2008 16:00,3083,6732,11544,9449
05/01/2008 17:00,3510,6493,9622,8315
05/01/2008 18:00,2541,5338,5276,4524
05/01/2008 19:00,1858,3129,2613,1928
05/01/2008 20:00,1563,4870,1521,1026
05/01/2008 21:00,1076,3923,1407,542
05/01/2008 22:00,1359,2243,1382,368
05/01/2008 23:00,797,1132,1198,276
06/01/2008 00:00,413,461,899,179
06/01/2008 01:00,294,560,675,115
06/01/2008 02:00,287,422,629,138
06/01/2008 03:00,319,585,1159,122
06/01/2008 04:00,116,116,388,45
06/01/2008 05:00,44,52,70,39
06/01/2008 06:00,112,85,151,185
06/01/2008 07:00,177,123,238,97
06/01/2008 08:00,191,133,282,180
06/01/2008 09:00,273,211,379,347
06/01/2008 10:00,589,630,733,1062
06/01/2008 11:00,1065,1146,1696,1912
06/01/2008 12:00,1639,1515,2912,3279
06/01/2008 13:00,2178,2348,4563,4921
06/01/2008 14:00,1990,3146,6014,6484
06/01/2008 15:00,2219,3807,7886,6856
06/01/2008 16:00,2147,3656,8308,5301
06/01/2008 17:00,2359,3381,5495,3934
06/01/2008 18:00,1875,2372,2850,2142
06/01/2008 19:00,1480,1916,1246,838
06/01/2008 20:00,1356,1734,1004,521
06/01/2008 21:00,955,1286,731,335
06/01/2008 22:00,869,1042,542,173
06/01/2008 23:00,467,873,376,162
07/01/2008 00:00,222,223,160,85
07/01/2008 01:00,129,245,108,38
07/01/2008 02:00,73,153,94,74
07/01/2008 03:00,58,30,148,112
07/01/2008 04:00,28,30,90,106
07/01/2008 05:00,136,60,263,220
07/01/2008 06:00,686,248,694,388
07/01/2008 07:00,1591,686,1529,351
07/01/2008 08:00,2817,1694,3727,1387
07/01/2008 09:00,2605,1445,2621,1777
07/01/2008 10:00,2237,1998,2361,2821
07/01/2008 11:00,3709,3605,3500,3544
07/01/2008 12:00,5611,2963,5499,4634
07/01/2008 13:00,7043,4408,8273,5882
07/01/2008 14:00,2772,3671,4665,4979
07/01/2008 15:00,2616,4074,5188,5390
07/01/2008 16:00,2862,5088,6339,5807
07/01/2008 17:00,3477,5772,8664,5438
07/01/2008 18:00,2825,5322,5919,3677
07/01/2008 19:00,1682,4118,2221,1715
07/01/2008 20:00,1160,3926,1205,930
07/01/2008 21:00,687,2648,879,479
07/01/2008 22:00,757,1123,643,295
07/01/2008 23:00,473,923,400,195
08/01/2008 00:00,212,316,235,85
08/01/2008 01:00,79,240,93,24
08/01/2008 02:00,78,273,113,52
08/01/2008 03:00,116,143,148,232
08/01/2008 04:00,71,59,113,178
08/01/2008 05:00,176,71,250,242
08/01/2008 06:00,736,260,624,515
08/01/2008 07:00,1526,716,1422,1024
08/01/2008 08:00,2718,1816,3759,1794
08/01/2008 09:00,2257,1781,3033,1803
08/01/2008 10:00,1694,1340,2025,2377
08/01/2008 11:00,1992,2190,2657,3554
08/01/2008 12:00,3220,3252,4833,4463
08/01/2008 13:00,4116,4639,8329,6015
08/01/2008 14:00,2871,4244,5745,5594
08/01/2008 15:00,3596,4841,5611,5502
08/01/2008 16:00,2776,5477,7519,2901
08/01/2008 17:00,3424,6931,7994,3593
08/01/2008 18:00,2557,5406,5734,3150
08/01/2008 19:00,1349,3319,2098,1355
08/01/2008 20:00,1150,2132,1240,666
08/01/2008 21:00,877,1678,902,314
08/01/2008 22:00,627,1439,630,257
08/01/2008 23:00,474,1140,479,187
09/01/2008 00:00,167,386,239,49
09/01/2008 01:00,78,312,79,49
09/01/2008 02:00,104,253,88,35
09/01/2008 03:00,86,168,159,200
09/01/2008 04:00,60,22,134,73
09/01/2008 05:00,135,61,330,190
09/01/2008 06:00,714,206,648,438
09/01/2008 07:00,1452,727,1615,711
09/01/2008 08:00,1648,1335,3334,1588
09/01/2008 09:00,1886,1210,2379,1833
09/01/2008 10:00,2176,1736,2076,2548
09/01/2008 11:00,2444,3930,3279,3329
09/01/2008 12:00,7146,2908,5063,4425
09/01/2008 13:00,7091,4330,8700,5784
09/01/2008 14:00,2539,3894,5998,5265
09/01/2008 15:00,2980,4692,6212,5709
09/01/2008 16:00,3536,5450,7219,5217
09/01/2008 17:00,4114,6850,9319,3407
09/01/2008 18:00,3209,5613,7029,2362
09/01/2008 19:00,1662,3602,2801,1352
09/01/2008 20:00,1396,2414,1544,771
09/01/2008 21:00,986,1478,1271,367
09/01/2008 22:00,1043,1123,909,271
09/01/2008 23:00,623,745,669,190
10/01/2008 00:00,351,330,381,72
10/01/2008 01:00,109,265,203,28
10/01/2008 02:00,106,239,121,37
10/01/2008 03:00,107,103,204,64
10/01/2008 04:00,67,24,132,74
10/01/2008 05:00,166,48,387,147
10/01/2008 06:00,809,246,913,334
10/01/2008 07:00,1796,744,1907,622
10/01/2008 08:00,2401,2095,3836,1621
10/01/2008 09:00,2243,1846,2709,1839
10/01/2008 10:00,2684,2371,2177,2450
10/01/2008 11:00,3068,4061,3539,3122
10/01/2008 12:00,6826,3327,5619,4622
10/01/2008 13:00,4211,5131,9521,6791
10/01/2008 14:00,3510,3837,5411,5338
10/01/2008 15:00,3030,3990,5607,5855
10/01/2008 16:00,3194,5089,7777,6290
10/01/2008 17:00,4690,6707,11374,7211
10/01/2008 18:00,3908,3948,10691,6227
10/01/2008 19:00,2437,2758,6432,3605
10/01/2008 20:00,2128,1611,3386,2268
10/01/2008 21:00,1301,1069,2001,1184
10/01/2008 22:00,1090,804,1392,374
10/01/2008 23:00,734,641,1083,263
11/01/2008 00:00,368,211,788,146
11/01/2008 01:00,198,246,491,44
11/01/2008 02:00,173,184,234,36
11/01/2008 03:00,145,120,270,120
11/01/2008 04:00,68,80,184,75
11/01/2008 05:00,129,77,246,256
11/01/2008 06:00,628,319,755,512
11/01/2008 07:00,1455,854,1632,978
11/01/2008 08:00,2276,1445,3535,1712
11/01/2008 09:00,2021,1424,2919,1318
11/01/2008 10:00,2475,1680,2578,2943
11/01/2008 11:00,3238,2450,3215,3861
11/01/2008 12:00,6594,2911,6174,4727
11/01/2008 13:00,13297,4323,8908,6081
11/01/2008 14:00,3923,3737,5676,5334
11/01/2008 15:00,2988,4609,6555,6108
11/01/2008 16:00,3188,5738,8337,6435
11/01/2008 17:00,4685,6855,11290,7072
11/01/2008 18:00,3529,5436,7962,4993
11/01/2008 19:00,2263,4321,3946,2188
11/01/2008 20:00,1881,2711,2382,1215
11/01/2008 21:00,1388,1208,1716,851
11/01/2008 22:00,1363,831,1758,462
11/01/2008 23:00,1010,563,1720,337
12/01/2008 00:00,814,463,1327,180
12/01/2008 01:00,409,369,882,98
12/01/2008 02:00,345,418,854,127
12/01/2008 03:00,298,505,1185,167
12/01/2008 04:00,114,108,490,67
12/01/2008 05:00,81,69,187,103
12/01/2008 06:00,238,166,441,267
12/01/2008 07:00,516,333,571,399
12/01/2008 08:00,761,406,749,807
12/01/2008 09:00,1106,778,1303,1492
12/01/2008 10:00,1934,1889,2471,3104
12/01/2008 11:00,2758,3999,5470,5157
12/01/2008 12:00,3326,4892,7347,7702
12/01/2008 13:00,3504,6114,8898,9146
12/01/2008 14:00,3857,6743,10793,9941
12/01/2008 15:00,4348,7166,11664,9131
12/01/2008 16:00,3658,7059,12076,7988
12/01/2008 17:00,3739,6108,10025,5977
12/01/2008 18:00,3021,3688,5696,3693
12/01/2008 19:00,2211,3147,3063,1513
12/01/2008 20:00,2087,2961,2429,877
12/01/2008 21:00,1643,2379,1917,623
12/01/2008 22:00,1935,1326,2069,380
12/01/2008 23:00,1327,724,1839,298
13/01/2008 00:00,817,475,1717,218
13/01/2008 01:00,481,329,1033,147
13/01/2008 02:00,575,437,1172,102
13/01/2008 03:00,682,681,2502,122
13/01/2008 04:00,224,157,969,84
13/01/2008 05:00,88,38,114,54
13/01/2008 06:00,147,100,200,104
13/01/2008 07:00,217,112,248,102
13/01/2008 08:00,368,155,364,192
13/01/2008 09:00,542,342,493,337
13/01/2008 10:00,962,635,885,910
13/01/2008 11:00,1516,1566,1910,2139
13/01/2008 12:00,1956,2626,3239,3664
13/01/2008 13:00,2247,3505,4753,5113
13/01/2008 14:00,2185,3575,5920,6778
13/01/2008 15:00,2422,5001,7758,7273
13/01/2008 16:00,2505,4679,8693,6835
13/01/2008 17:00,3235,5584,6938,5732
13/01/2008 18:00,2548,3124,3737,3290
13/01/2008 19:00,1778,2509,1767,1316
13/01/2008 20:00,1911,2289,1275,956
13/01/2008 21:00,1229,1656,977,434
13/01/2008 22:00,1144,1209,748,317
13/01/2008 23:00,768,945,674,258
14/01/2008 00:00,273,256,302,70
14/01/2008 01:00,200,194,217,67
14/01/2008 02:00,106,157,178,45
14/01/2008 03:00,110,93,139,99
14/01/2008 04:00,55,44,95,81
14/01/2008 05:00,148,67,234,170
14/01/2008 06:00,713,287,778,454
14/01/2008 07:00,1456,744,1592,323
14/01/2008 08:00,2941,1897,3657,1770
14/01/2008 09:00,2278,1784,2813,1928
14/01/2008 10:00,1995,1886,2517,2774
14/01/2008 11:00,2453,3380,3076,3845
14/01/2008 12:00,3339,4467,4578,5092
14/01/2008 13:00,4865,5595,8671,5886
14/01/2008 14:00,2729,4405,5423,5299
14/01/2008 15:00,2841,4775,5506,5690
14/01/2008 16:00,3357,5538,6038,5415
14/01/2008 17:00,4124,6508,8290,5657
14/01/2008 18:00,2945,6119,5945,3924
14/01/2008 19:00,1875,4508,2436,1836
14/01/2008 20:00,1424,3985,1432,960
14/01/2008 21:00,912,2717,1317,595
14/01/2008 22:00,970,1143,851,308
14/01/2008 23:00,693,946,776,179
15/01/2008 00:00,274,189,405,90
15/01/2008 01:00,98,230,171,27
15/01/2008 02:00,179,166,230,34
15/01/2008 03:00,172,134,276,103
15/01/2008 04:00,102,32,207,61
15/01/2008 05:00,115,63,259,216
15/01/2008 06:00,608,356,625,526
15/01/2008 07:00,1417,822,1743,896
15/01/2008 08:00,2421,1627,3617,1644
15/01/2008 09:00,1805,1459,2925,1911
15/01/2008 10:00,1824,1702,2438,2805
15/01/2008 11:00,2250,2395,2762,3715
15/01/2008 12:00,2858,4307,5125,5156
15/01/2008 13:00,4086,5586,8696,6474
15/01/2008 14:00,3719,4892,5830,5544
15/01/2008 15:00,3821,5010,5076,5679
15/01/2008 16:00,3846,5884,6618,5661
15/01/2008 17:00,3834,4740,9246,5860
15/01/2008 18:00,2990,3244,6754,4131
15/01/2008 19:00,2029,2012,3013,1644
15/01/2008 20:00,1460,1324,1712,1039
15/01/2008 21:00,976,1063,1242,522
15/01/2008 22:00,882,976,1119,333
15/01/2008 23:00,581,740,765,341
16/01/2008 00:00,241,161,358,81
16/01/2008 01:00,91,190,209,18
16/01/2008 02:00,84,131,318,26
16/01/2008 03:00,65,100,175,118
16/01/2008 04:00,50,31,205,38
16/01/2008 05:00,133,179,303,170
16/01/2008 06:00,681,373,727,469
16/01/2008 07:00,1339,781,1311,784
16/01/2008 08:00,2241,1597,3325,1437
16/01/2008 09:00,1865,1560,2783,1930
16/01/2008 10:00,1530,2398,2117,2711
16/01/2008 11:00,2049,3271,3148,3955
16/01/2008 12:00,3213,4524,4882,5239
16/01/2008 13:00,3970,6291,7777,6318
16/01/2008 14:00,3369,5093,6078,5410
16/01/2008 15:00,3340,5217,5172,5217
16/01/2008 16:00,3463,5398,6812,5820
16/01/2008 17:00,4124,6424,9984,5642
16/01/2008 18:00,3533,4720,7759,3952
16/01/2008 19:00,2049,2862,3319,1804
16/01/2008 20:00,1805,2074,2010,980
16/01/2008 21:00,1201,1284,1430,605
16/01/2008 22:00,1091,926,1251,333
16/01/2008 23:00,654,638,910,237
17/01/2008 00:00,272,228,475,111
17/01/2008 01:00,130,249,263,56
17/01/2008 02:00,154,155,192,34
17/01/2008 03:00,119,101,240,54
17/01/2008 04:00,103,51,190,137
17/01/2008 05:00,193,71,326,151
17/01/2008 06:00,795,315,778,424
17/01/2008 07:00,1613,758,1577,954
17/01/2008 08:00,2761,1906,4370,1552
17/01/2008 09:00,2511,1960,3100,1945
17/01/2008 10:00,2215,2250,2297,2465
17/01/2008 11:00,2590,2987,2747,3479
17/01/2008 12:00,5316,3602,5761,4397
17/01/2008 13:00,6266,4915,8120,5446
17/01/2008 14:00,2961,4892,5703,5033
17/01/2008 15:00,3747,4788,6177,5199
17/01/2008 16:00,3656,5624,6999,3160
17/01/2008 17:00,4042,6419,10678,5496
17/01/2008 18:00,3297,4720,9806,4872
17/01/2008 19:00,2422,3316,5340,3159
17/01/2008 20:00,1960,1926,3334,2154
17/01/2008 21:00,1610,912,1911,1019
17/01/2008 22:00,998,673,1226,360
17/01/2008 23:00,677,501,950,247
18/01/2008 00:00,371,209,579,151
18/01/2008 01:00,221,246,283,52
18/01/2008 02:00,224,167,242,47
18/01/2008 03:00,180,133,286,116
18/01/2008 04:00,102,42,197,60
18/01/2008 05:00,189,55,441,170
18/01/2008 06:00,803,264,764,470
18/01/2008 07:00,1865,779,1557,906
18/01/2008 08:00,2898,1440,3215,1823
18/01/2008 09:00,2438,1593,2553,1919
18/01/2008 10:00,2193,1911,2299,2814
18/01/2008 11:00,2506,2848,3277,4020
18/01/2008 12:00,3211,4339,5677,5020
18/01/2008 13:00,3724,5671,8476,6224
18/01/2008 14:00,3755,5476,7170,5676
18/01/2008 15:00,4532,5623,7247,5880
18/01/2008 16:00,4154,5877,8183,5989
18/01/2008 17:00,4783,6480,10847,5999
18/01/2008 18:00,3874,5710,7722,4548
18/01/2008 19:00,2337,4603,4220,2382
18/01/2008 20:00,2014,2478,2648,1207
18/01/2008 21:00,1816,1067,2413,874
18/01/2008 22:00,1717,923,2221,535
18/01/2008 23:00,1206,713,1790,324
19/01/2008 00:00,705,245,1311,213
19/01/2008 01:00,483,279,937,138
19/01/2008 02:00,393,226,948,91
19/01/2008 03:00,380,440,1339,165
19/01/2008 04:00,182,130,475,78
19/01/2008 05:00,83,41,225,83
19/01/2008 06:00,318,152,353,197
19/01/2008 07:00,649,274,748,375
19/01/2008 08:00,842,574,1027,855
19/01/2008 09:00,1181,1305,1415,1662
19/01/2008 10:00,2306,2601,2725,3521
19/01/2008 11:00,2497,4007,5536,6194
19/01/2008 12:00,3075,4902,8427,7904
19/01/2008 13:00,3412,6438,10448,11406
19/01/2008 14:00,4954,7701,11233,10915
19/01/2008 15:00,4976,7814,11704,10086
19/01/2008 16:00,4814,7187,11848,9006
19/01/2008 17:00,3503,6646,10352,6732
19/01/2008 18:00,2579,3423,6212,3906
19/01/2008 19:00,2035,2973,3419,1886
19/01/2008 20:00,1740,2482,2247,825
19/01/2008 21:00,1549,2081,2008,638
19/01/2008 22:00,2017,1233,2115,342
19/01/2008 23:00,1556,741,1906,304
20/01/2008 00:00,773,378,1618,174
20/01/2008 01:00,585,419,1168,151
20/01/2008 02:00,537,334,1377,99
20/01/2008 03:00,691,757,2163,138
20/01/2008 04:00,243,321,848,69
20/01/2008 05:00,124,84,115,30
20/01/2008 06:00,149,85,239,88
20/01/2008 07:00,241,104,218,140
20/01/2008 08:00,268,140,293,224
20/01/2008 09:00,523,337,537,450
20/01/2008 10:00,1118,831,933,1156
20/01/2008 11:00,1542,1526,2414,2472
20/01/2008 12:00,2401,2657,4747,4560
20/01/2008 13:00,2189,3227,5711,6128
20/01/2008 14:00,2308,3923,6956,7408
20/01/2008 15:00,2604,4790,8261,7526
20/01/2008 16:00,2572,5028,9165,6358
20/01/2008 17:00,2410,4533,7099,4773
20/01/2008 18:00,2487,3487,3785,2566
20/01/2008 19:00,2001,2704,1822,943
20/01/2008 20:00,1774,2542,1232,470
20/01/2008 21:00,1296,1812,907,427
20/01/2008 22:00,1143,1411,679,273
20/01/2008 23:00,749,1076,573,177
21/01/2008 00:00,301,175,252,78
21/01/2008 01:00,142,247,217,33
21/01/2008 02:00,90,146,124,61
21/01/2008 03:00,131,107,108,171
21/01/2008 04:00,152,47,137,105
21/01/2008 05:00,196,80,291,149
21/01/2008 06:00,840,298,560,480
21/01/2008 07:00,1649,860,1130,399
21/01/2008 08:00,2661,1530,2933,1305
21/01/2008 09:00,1849,1567,2638,1955
21/01/2008 10:00,1649,3004,2237,3158
21/01/2008 11:00,3874,4995,3708,3784
21/01/2008 12:00,3649,3906,5891,5536
21/01/2008 13:00,4288,5325,9621,6575
21/01/2008 14:00,3246,4122,6184,5601
21/01/2008 15:00,2810,4481,5520,6139
21/01/2008 16:00,3051,4955,6132,6159
21/01/2008 17:00,3708,6522,9089,5831
21/01/2008 18:00,2965,4360,6474,4196
21/01/2008 19:00,1810,2926,2671,1866
21/01/2008 20:00,1562,1914,1484,1100
21/01/2008 21:00,1039,1207,1122,907
21/01/2008 22:00,1049,834,830,353
21/01/2008 23:00,649,652,681,220
22/01/2008 00:00,263,116,474,108
22/01/2008 01:00,112,149,239,68
22/01/2008 02:00,96,54,208,26
22/01/2008 03:00,171,102,301,139
22/01/2008 04:00,59,59,164,90
22/01/2008 05:00,174,63,236,186
22/01/2008 06:00,725,317,711,465
22/01/2008 07:00,1627,826,1763,943
22/01/2008 08:00,3229,1881,4606,1759
22/01/2008 09:00,2684,2145,3346,2129
22/01/2008 10:00,2467,2179,2213,2512
22/01/2008 11:00,2540,3195,2885,3925
22/01/2008 12:00,3475,4122,5329,5158
22/01/2008 13:00,4311,5823,8429,6535
22/01/2008 14:00,3935,5127,6014,5310
22/01/2008 15:00,4000,5371,5714,5550
22/01/2008 16:00,4296,6012,7160,5320
22/01/2008 17:00,4439,6568,9590,5309
22/01/2008 18:00,3638,5924,7634,3626
22/01/2008 19:00,2208,4490,3315,1688
22/01/2008 20:00,1710,3845,2020,890
22/01/2008 21:00,1205,2046,1529,509
22/01/2008 22:00,1118,1472,1174,354
22/01/2008 23:00,777,804,927,181
23/01/2008 00:00,341,159,438,87
23/01/2008 01:00,151,183,171,38
23/01/2008 02:00,92,147,170,155
23/01/2008 03:00,136,127,164,38
23/01/2008 04:00,95,53,213,50
23/01/2008 05:00,149,70,339,155
23/01/2008 06:00,767,297,765,540
23/01/2008 07:00,1532,824,1801,1016
23/01/2008 08:00,2811,1617,3664,1693
23/01/2008 09:00,2219,1481,2975,2176
23/01/2008 10:00,1757,1942,2375,2882
23/01/2008 11:00,3541,3905,3487,4014
23/01/2008 12:00,4240,3812,6285,5580
23/01/2008 13:00,3636,5449,10076,7195
23/01/2008 14:00,3075,4588,6566,6022
23/01/2008 15:00,2912,4649,5924,6086
23/01/2008 16:00,3595,5844,7212,5780
23/01/2008 17:00,3825,7538,10544,5517
23/01/2008 18:00,3333,3517,8284,3915
23/01/2008 19:00,2251,2746,3602,1663
23/01/2008 20:00,1667,1611,2051,738
23/01/2008 21:00,1208,1146,1697,480
23/01/2008 22:00,1127,903,1326,323
23/01/2008 23:00,680,667,1074,230
24/01/2008 00:00,385,239,621,118
24/01/2008 01:00,166,152,259,44
24/01/2008 02:00,147,179,226,67
24/01/2008 03:00,174,143,363,72
24/01/2008 04:00,75,59,135,76
24/01/2008 05:00,174,81,312,220
24/01/2008 06:00,733,241,805,484
24/01/2008 07:00,1499,800,1567,821
24/01/2008 08:00,1069,1116,3598,925
24/01/2008 09:00,1352,1205,2471,2310
24/01/2008 10:00,1678,4399,2286,4214
24/01/2008 11:00,1919,5089,4016,3658
24/01/2008 12:00,6461,3148,6563,5224
24/01/2008 13:00,6543,4651,9469,5958
24/01/2008 14:00,2843,4202,6448,5480
24/01/2008 15:00,2762,4116,5492,5293
24/01/2008 16:00,3095,4732,7116,6456
24/01/2008 17:00,4270,5411,11085,7326
24/01/2008 18:00,3805,5253,10967,6151
24/01/2008 19:00,2433,4452,6487,3847
24/01/2008 20:00,2096,2930,3934,2247
24/01/2008 21:00,1464,1728,2121,1047
24/01/2008 22:00,1236,1123,1310,447
24/01/2008 23:00,996,678,1244,327
25/01/2008 00:00,483,245,811,138
25/01/2008 01:00,240,177,463,107
25/01/2008 02:00,221,149,368,63
25/01/2008 03:00,311,242,388,135
25/01/2008 04:00,94,64,214,65
25/01/2008 05:00,119,88,288,236
25/01/2008 06:00,671,378,731,525
25/01/2008 07:00,1385,773,1745,935
25/01/2008 08:00,2218,1173,3556,1431
25/01/2008 09:00,2068,1317,2497,1903
25/01/2008 10:00,2066,2180,2511,2916
25/01/2008 11:00,2884,3494,3656,4003
25/01/2008 12:00,3420,4449,6405,5672
25/01/2008 13:00,6105,5532,10525,7427
25/01/2008 14:00,3482,5098,7477,6526
25/01/2008 15:00,3604,5953,7835,7128
25/01/2008 16:00,3954,6605,9069,7344
25/01/2008 17:00,4498,7051,11120,7684
25/01/2008 18:00,3750,5318,8372,5047
25/01/2008 19:00,2536,3690,4332,2621
25/01/2008 20:00,2130,2841,2833,1408
25/01/2008 21:00,2017,2276,2451,989
25/01/2008 22:00,1904,1832,2140,592
25/01/2008 23:00,1445,1410,2066,406
26/01/2008 00:00,750,743,1572,260
26/01/2008 01:00,625,615,1121,188
26/01/2008 02:00,515,709,1098,111
26/01/2008 03:00,649,950,1546,228
26/01/2008 04:00,124,207,563,65
26/01/2008 05:00,82,78,228,134
26/01/2008 06:00,277,227,426,306
26/01/2008 07:00,544,334,608,375
26/01/2008 08:00,709,573,851,819
26/01/2008 09:00,1052,967,1478,1736
26/01/2008 10:00,2085,2343,2672,3802
26/01/2008 11:00,2632,3754,5639,5971
26/01/2008 12:00,3135,5385,8553,8148
26/01/2008 13:00,4758,6379,10963,10911
26/01/2008 14:00,4175,6697,10794,11348
26/01/2008 15:00,3344,7727,11888,11661
26/01/2008 16:00,3705,7677,12065,10849
26/01/2008 17:00,4177,7284,11596,9393
26/01/2008 18:00,3394,4890,7116,5457
26/01/2008 19:00,2640,3231,3755,2180
26/01/2008 20:00,2079,2436,2715,1046
26/01/2008 21:00,1759,2021,2208,790
26/01/2008 22:00,2229,1618,2440,525
26/01/2008 23:00,1330,1275,2540,391
27/01/2008 00:00,647,1078,1942,266
27/01/2008 01:00,647,669,1376,174
27/01/2008 02:00,695,960,1596,161
27/01/2008 03:00,857,1446,2519,234
27/01/2008 04:00,254,407,965,89
27/01/2008 05:00,79,88,136,58
27/01/2008 06:00,168,144,200,107
27/01/2008 07:00,261,130,234,128
27/01/2008 08:00,272,165,313,206
27/01/2008 09:00,560,389,555,469
27/01/2008 10:00,1074,929,1159,1409
27/01/2008 11:00,2036,2066,2629,2549
27/01/2008 12:00,4234,2252,5169,3919
27/01/2008 13:00,4793,2902,6531,5291
27/01/2008 14:00,2411,3865,6545,6466
27/01/2008 15:00,2200,4209,7332,6795
27/01/2008 16:00,2552,4420,9161,7017
27/01/2008 17:00,2923,3507,8013,6257
27/01/2008 18:00,2633,1816,4268,3640
27/01/2008 19:00,1948,1478,1941,1419
27/01/2008 20:00,1713,1301,1316,761
27/01/2008 21:00,1364,1062,1079,447
27/01/2008 22:00,1283,768,803,361
27/01/2008 23:00,711,627,950,224
28/01/2008 00:00,293,231,391,118
28/01/2008 01:00,140,147,272,48
28/01/2008 02:00,118,82,243,56
28/01/2008 03:00,106,144,102,110
28/01/2008 04:00,40,61,119,56
28/01/2008 05:00,140,95,274,223
