"Hourly By Entrance - Week 26, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,475,0,413,0,365,0,451,0,583,0,998,0,1044,0
01:00,193,0,137,0,153,0,185,0,319,0,609,0,644,0
02:00,150,0,110,0,153,0,120,0,205,0,436,0,525,0
03:00,104,0,123,0,54,0,140,0,177,0,525,0,710,0
04:00,52,0,47,0,83,0,39,0,127,0,140,0,272,0
05:00,135,0,152,0,111,0,98,0,133,0,69,0,75,0
06:00,521,0,483,0,582,0,441,0,560,0,205,0,111,0
07:00,1083,0,1112,0,1027,0,1098,0,1285,0,470,0,179,0
08:00,2048,0,2523,0,1995,0,2163,0,2177,0,738,0,301,0
09:00,1901,0,2173,0,1800,0,1907,0,2538,0,1424,0,637,0
10:00,2249,0,2442,0,2066,0,2251,0,2915,0,2364,0,1040,0
11:00,2580,0,2799,0,2570,0,3002,0,3736,0,2804,0,1800,0
12:00,3531,0,3176,0,3316,0,3626,0,4217,0,3569,0,3035,0
13:00,4305,0,4088,0,4396,0,4965,0,4092,0,3865,0,4140,0
14:00,3686,0,3545,0,4969,0,4497,0,3897,0,4227,0,4109,0
15:00,3695,0,4782,0,5330,0,4355,0,4070,0,5064,0,2991,0
16:00,4176,0,4274,0,5996,0,4787,0,4155,0,4188,0,8244,0
17:00,3904,0,4217,0,5910,0,5176,0,4584,0,3985,0,5786,0
18:00,2886,0,3264,0,5584,0,4330,0,3824,0,3445,0,3288,0
19:00,1871,0,2149,0,2119,0,3139,0,2404,0,2645,0,2178,0
20:00,1346,0,1592,0,1434,0,2018,0,2020,0,2021,0,1393,0
21:00,1073,0,1208,0,1168,0,1482,0,1729,0,1589,0,993,0
22:00,986,0,1066,0,1106,0,1427,0,1834,0,1942,0,1728,0
23:00,867,0,820,0,1047,0,1071,0,1791,0,1872,0,1285,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1132,0,1215,0,546,0,1065,0,1162,0,2395,0,2474,0
01:00,543,0,213,0,248,0,792,0,644,0,1797,0,1531,0
02:00,125,0,272,0,127,0,177,0,409,0,1500,0,1504,0
03:00,87,0,156,0,128,0,350,0,383,0,2605,0,2481,0
04:00,132,0,104,0,166,0,150,0,220,0,996,0,1186,0
05:00,247,0,204,0,217,0,289,0,293,0,175,0,168,0
06:00,600,0,704,0,718,0,599,0,638,0,385,0,172,0
07:00,1327,0,1383,0,1315,0,1459,0,1347,0,518,0,226,0
08:00,2312,0,3026,0,1128,0,2554,0,3028,0,830,0,366,0
09:00,1594,0,2878,0,1200,0,1723,0,2878,0,1739,0,656,0
10:00,2217,0,2588,0,2646,0,2305,0,2840,0,3249,0,1547,0
11:00,3992,0,3532,0,3572,0,3062,0,4307,0,5926,0,2881,0
