"Hourly By Entrance - Week 9, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,290,0,272,0,278,0,385,0,593,0,823,0,857,0
01:00,130,0,117,0,89,0,138,0,294,0,508,0,582,0
02:00,119,0,161,0,96,0,122,0,230,0,506,0,539,0
03:00,60,0,106,0,123,0,171,0,214,0,312,0,600,0
04:00,67,0,30,0,32,0,159,0,77,0,124,0,164,0
05:00,123,0,148,0,120,0,149,0,149,0,82,0,76,0
06:00,625,0,543,0,604,0,636,0,623,0,235,0,95,0
07:00,1270,0,1137,0,1739,0,1293,0,1232,0,352,0,151,0
08:00,2456,0,2208,0,2840,0,2403,0,3049,0,777,0,264,0
09:00,2089,0,2035,0,2691,0,1866,0,2632,0,1220,0,706,0
10:00,2241,0,1641,0,2309,0,1864,0,2650,0,2040,0,1281,0
11:00,2708,0,2560,0,2757,0,2407,0,2949,0,3119,0,1892,0
12:00,3870,0,4860,0,4539,0,3090,0,4180,0,3420,0,2426,0
13:00,4260,0,7039,0,5708,0,3671,0,4638,0,4104,0,3546,0
14:00,3415,0,5869,0,4655,0,3161,0,4160,0,3687,0,3665,0
15:00,2859,0,3425,0,3186,0,3259,0,3882,0,3304,0,2541,0
16:00,2909,0,2996,0,3150,0,3752,0,3960,0,3737,0,2283,0
17:00,3391,0,3409,0,3933,0,3909,0,4693,0,4105,0,2491,0
18:00,3117,0,3178,0,3739,0,3469,0,3606,0,3154,0,2253,0
19:00,1943,0,1917,0,2484,0,2854,0,2813,0,2316,0,1899,0
20:00,1627,0,1742,0,1910,0,2464,0,2303,0,2130,0,1598,0
21:00,1249,0,1268,0,1407,0,1614,0,1869,0,1734,0,1269,0
22:00,1187,0,1249,0,1328,0,1426,0,1698,0,1924,0,1030,0
23:00,718,0,801,0,823,0,989,0,1340,0,1557,0,640,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,341,0,392,0,427,0,622,0,1004,0,1566,0,1919,0
