"Hourly By Entrance - Week 22, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,699,0,267,0,373,0,434,0,644,0,1268,0,856,0
01:00,235,0,128,0,117,0,175,0,311,0,809,0,563,0
02:00,169,0,177,0,119,0,109,0,226,0,468,0,509,0
03:00,169,0,115,0,108,0,179,0,255,0,447,0,547,0
04:00,98,0,122,0,75,0,74,0,137,0,183,0,225,0
05:00,102,0,146,0,119,0,167,0,90,0,76,0,45,0
06:00,450,0,554,0,501,0,710,0,475,0,223,0,95,0
07:00,1106,0,1196,0,1295,0,1445,0,1156,0,554,0,167,0
08:00,2240,0,3114,0,2502,0,2587,0,2164,0,714,0,251,0
09:00,2015,0,2937,0,2223,0,1816,0,1945,0,1114,0,680,0
10:00,2248,0,2748,0,2161,0,1837,0,2306,0,2084,0,1166,0
11:00,2185,0,2932,0,2619,0,2582,0,2896,0,2766,0,1762,0
12:00,3246,0,3150,0,3348,0,3258,0,3522,0,3868,0,2635,0
13:00,4771,0,4158,0,4315,0,3728,0,5410,0,4840,0,3422,0
14:00,4757,0,3514,0,3823,0,3520,0,5234,0,4946,0,3957,0
15:00,5057,0,3443,0,3423,0,3598,0,6322,0,5437,0,4152,0
16:00,4713,0,3564,0,3818,0,5149,0,7640,0,6090,0,4187,0
17:00,4233,0,3824,0,4253,0,7457,0,9308,0,6302,0,3312,0
18:00,3142,0,3131,0,3102,0,6548,0,5874,0,6154,0,3038,0
19:00,1873,0,1804,0,2060,0,2336,0,2464,0,1715,0,1934,0
20:00,1390,0,1348,0,1654,0,2008,0,2074,0,1782,0,1483,0
21:00,1097,0,1070,0,1174,0,1719,0,1632,0,1565,0,1245,0
22:00,1377,0,1304,0,1456,0,1528,0,5084,0,1889,0,1396,0
23:00,849,0,796,0,870,0,1038,0,5662,0,1777,0,5223,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1183,0,631,0,605,0,863,0,1335,0,2497,0,2220,0
01:00,483,0,221,0,231,0,361,0,549,0,1646,0,1491,0
02:00,200,0,145,0,136,0,212,0,453,0,1142,0,1156,0
03:00,126,0,275,0,175,0,408,0,333,0,1823,0,1701,0
04:00,137,0,370,0,211,0,248,0,190,0,786,0,741,0
05:00,208,0,315,0,280,0,289,0,341,0,214,0,139,0
06:00,669,0,588,0,579,0,586,0,645,0,356,0,134,0
07:00,1228,0,1356,0,1473,0,1214,0,1196,0,408,0,215,0
08:00,2956,0,2622,0,3400,0,3100,0,2832,0,808,0,323,0
09:00,2434,0,2096,0,3018,0,2700,0,2832,0,1620,0,637,0
10:00,2808,0,1799,0,2544,0,2809,0,3097,0,3192,0,1420,0
11:00,4853,0,2929,0,3173,0,3699,0,4881,0,5716,0,2596,0
12:00,7691,0,3983,0,5937,0,6194,0,7380,0,6785,0,4183,0
13:00,10140,0,5846,0,9419,0,9415,0,10707,0,9274,0,6127,0
14:00,9446,0,4851,0,7310,0,7289,0,10261,0,10637,0,7861,0
15:00,7106,0,4865,0,6573,0,6948,0,9261,0,9610,0,8328,0
16:00,6193,0,5377,0,7597,0,6432,0,7597,0,8201,0,7061,0
17:00,8302,0,7162,0,8720,0,9047,0,8999,0,8810,0,5679,0
18:00,5091,0,5197,0,6428,0,9049,0,6326,0,5192,0,3201,0
19:00,2304,0,2368,0,3198,0,6030,0,3467,0,2950,0,1758,0
20:00,1544,0,1538,0,2072,0,3826,0,2281,0,2239,0,1420,0
21:00,1191,0,1177,0,1608,0,2038,0,2024,0,1914,0,1240,0
22:00,896,0,1349,0,1965,0,2473,0,3084,0,2991,0,1803,0
23:00,773,0,1024,0,1570,0,2052,0,4201,0,3179,0,1751,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,243,0,246,0,390,0,517,0,568,0,775,0,1243,0
01:00,163,0,127,0,155,0,235,0,231,0,560,0,1129,0
02:00,135,0,107,0,153,0,189,0,169,0,668,0,1123,0
03:00,74,0,184,0,176,0,322,0,220,0,1014,0,1347,0
04:00,131,0,110,0,100,0,186,0,158,0,297,0,1144,0
05:00,266,0,168,0,274,0,333,0,269,0,156,0,398,0
06:00,820,0,685,0,743,0,817,0,773,0,349,0,250,0
07:00,1692,0,815,0,1657,0,1674,0,1870,0,465,0,303,0
08:00,3394,0,2177,0,3576,0,2275,0,3709,0,767,0,417,0
09:00,2900,0,2055,0,2952,0,2917,0,3197,0,1586,0,679,0
10:00,2801,0,2247,0,2872,0,3510,0,3478,0,3820,0,1343,0
11:00,4108,0,3844,0,4003,0,4684,0,4947,0,7662,0,2881,0
12:00,7097,0,7253,0,5518,0,8100,0,8860,0,9961,0,4557,0
13:00,11066,0,9192,0,6687,0,12924,0,12567,0,12021,0,5328,0
14:00,7302,0,6012,0,5349,0,8577,0,8366,0,12649,0,5147,0
15:00,4960,0,4951,0,5546,0,6343,0,7170,0,10934,0,5746,0
16:00,4400,0,4924,0,6368,0,4022,0,7260,0,8701,0,5155,0
17:00,6568,0,6969,0,9053,0,3014,0,10221,0,8456,0,4926,0
18:00,5803,0,4663,0,6296,0,7573,0,7633,0,6585,0,3682,0
19:00,2915,0,2176,0,2889,0,5768,0,3315,0,3410,0,2016,0
20:00,2011,0,1506,0,2140,0,3685,0,2067,0,2646,0,1140,0
21:00,1304,0,1181,0,1576,0,2334,0,1614,0,2070,0,783,0
22:00,721,0,752,0,1085,0,1207,0,1148,0,1754,0,599,0
23:00,504,0,534,0,926,0,894,0,880,0,1495,0,500,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,4,0,3,0,8,0,11,0,15,0,16,0,19,0
01:00,0,0,1,0,3,0,3,0,8,0,12,0,24,0
02:00,0,0,21,0,23,0,2,0,7,0,10,0,24,0
03:00,67,0,38,0,89,0,105,0,113,0,310,0,448,0
04:00,87,0,59,0,71,0,158,0,147,0,308,0,434,0
05:00,106,0,142,0,130,0,135,0,103,0,75,0,61,0
