"Hourly By Entrance - Week 51, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,246,0,367,0,304,0,521,0,563,0,671,0,601,0
01:00,120,0,177,0,132,0,235,0,222,0,663,0,492,0
02:00,191,0,192,0,148,0,171,0,356,0,740,0,495,0
03:00,97,0,124,0,91,0,255,0,407,0,849,0,622,0
04:00,100,0,69,0,88,0,87,0,146,0,280,0,201,0
05:00,164,0,135,0,118,0,120,0,142,0,133,0,71,0
06:00,748,0,508,0,423,0,412,0,453,0,322,0,110,0
07:00,1081,0,1184,0,1099,0,1125,0,1069,0,560,0,176,0
08:00,2579,0,2034,0,1363,0,1785,0,1473,0,836,0,258,0
09:00,2975,0,1907,0,1458,0,1711,0,1785,0,1250,0,425,0
10:00,3324,0,2025,0,1909,0,1849,0,2170,0,2351,0,792,0
11:00,4649,0,3071,0,3847,0,2559,0,2435,0,2960,0,1361,0
12:00,10786,0,4021,0,5517,0,3337,0,2961,0,4334,0,2133,0
13:00,7832,0,4694,0,4483,0,4422,0,3674,0,5043,0,2928,0
14:00,3894,0,4216,0,3183,0,4120,0,3589,0,5385,0,3895,0
15:00,3014,0,4350,0,3686,0,3559,0,3832,0,5835,0,4213,0
16:00,4108,0,4113,0,4212,0,4423,0,4193,0,5299,0,3073,0
17:00,4238,0,4965,0,4469,0,5183,0,3939,0,4984,0,3032,0
18:00,3247,0,3800,0,3992,0,4429,0,3085,0,3539,0,2503,0
19:00,2268,0,2303,0,2869,0,3047,0,1975,0,2442,0,1651,0
20:00,1666,0,1719,0,1888,0,2419,0,1568,0,2028,0,1357,0
21:00,1277,0,1152,0,1378,0,1680,0,1440,0,1494,0,982,0
22:00,977,0,872,0,1033,0,1035,0,1264,0,1389,0,870,0
23:00,900,0,931,0,876,0,838,0,1211,0,1164,0,803,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
