"Hourly By Entrance - Week 28, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,386,0,332,0,381,0,409,0,536,0,849,0,875,0
01:00,205,0,138,0,135,0,211,0,375,0,586,0,642,0
02:00,193,0,92,0,126,0,138,0,227,0,555,0,612,0
03:00,200,0,123,0,87,0,131,0,299,0,347,0,644,0
04:00,73,0,29,0,119,0,61,0,67,0,137,0,227,0
05:00,143,0,107,0,129,0,135,0,118,0,86,0,71,0
06:00,472,0,408,0,434,0,487,0,418,0,185,0,115,0
07:00,1033,0,984,0,1056,0,1156,0,995,0,403,0,259,0
08:00,2285,0,2075,0,2776,0,2079,0,2067,0,769,0,288,0
09:00,1841,0,1711,0,2673,0,1976,0,2018,0,1224,0,744,0
10:00,2056,0,1809,0,2727,0,2369,0,2256,0,2316,0,1330,0
11:00,2526,0,2333,0,3513,0,2859,0,3095,0,2982,0,1930,0
12:00,3331,0,3404,0,4325,0,3766,0,3764,0,3222,0,2658,0
13:00,4070,0,5027,0,4774,0,4547,0,4117,0,4077,0,2686,0
14:00,3810,0,5102,0,4225,0,4519,0,4241,0,4006,0,3294,0
15:00,3813,0,4305,0,4137,0,4011,0,4216,0,4505,0,3777,0
16:00,3720,0,3809,0,3843,0,5576,0,4510,0,5333,0,4055,0
17:00,4532,0,8013,0,4020,0,5848,0,4889,0,5218,0,4437,0
18:00,3134,0,6141,0,6457,0,4679,0,3765,0,4135,0,2918,0
19:00,1822,0,2089,0,2661,0,3194,0,2479,0,2316,0,1943,0
20:00,1483,0,1694,0,1809,0,2967,0,2122,0,2009,0,1812,0
21:00,1043,0,1238,0,1346,0,1722,0,1451,0,1799,0,1357,0
22:00,1147,0,1216,0,1294,0,1638,0,1837,0,2020,0,1634,0
23:00,893,0,1088,0,960,0,1126,0,1401,0,1871,0,972,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,681,0,570,0,652,0,950,0,950,0,1824,0,2087,0
01:00,363,0,234,0,388,0,820,0,436,0,1310,0,1406,0
02:00,178,0,95,0,162,0,276,0,417,0,1159,0,1211,0
03:00,89,0,171,0,161,0,260,0,311,0,1050,0,2989,0
04:00,154,0,171,0,122,0,167,0,209,0,379,0,1319,0
05:00,220,0,238,0,238,0,330,0,245,0,176,0,137,0
06:00,726,0,560,0,528,0,621,0,585,0,400,0,216,0
07:00,934,0,1501,0,1186,0,1195,0,1321,0,566,0,267,0
08:00,2176,0,3167,0,2934,0,2711,0,3035,0,860,0,297,0
09:00,2742,0,2634,0,2763,0,2580,0,2773,0,1533,0,700,0
10:00,2047,0,2655,0,2722,0,2888,0,2725,0,2965,0,1735,0
11:00,3644,0,3811,0,3490,0,3803,0,5152,0,6560,0,4113,0
12:00,6215,0,6249,0,5176,0,6411,0,7809,0,9388,0,6108,0
13:00,8514,0,10131,0,7153,0,10479,0,10180,0,10889,0,8664,0
14:00,7281,0,8970,0,6237,0,8201,0,8040,0,10651,0,9434,0
15:00,7294,0,8717,0,6376,0,8155,0,8876,0,11857,0,10007,0
16:00,8035,0,8742,0,7214,0,8585,0,9354,0,10748,0,9651,0
17:00,8633,0,9058,0,8227,0,9498,0,9260,0,9921,0,8088,0
18:00,6241,0,6772,0,6351,0,9365,0,7089,0,6692,0,5381,0
19:00,2648,0,3454,0,3377,0,6988,0,3868,0,3497,0,2845,0
20:00,1650,0,1957,0,2077,0,4333,0,2430,0,2111,0,1700,0
21:00,1179,0,1639,0,1590,0,2312,0,2011,0,2452,0,1182,0
22:00,1593,0,2338,0,2161,0,2686,0,3150,0,3410,0,1401,0
23:00,1157,0,1162,0,1255,0,1458,0,2261,0,2668,0,931,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,319,0,224,0,392,0,742,0,619,0,795,0,1808,0
01:00,266,0,89,0,426,0,358,0,250,0,573,0,1641,0
02:00,166,0,147,0,411,0,229,0,181,0,683,0,1636,0
03:00,139,0,128,0,138,0,311,0,236,0,1038,0,1965,0
04:00,161,0,85,0,142,0,233,0,168,0,304,0,1648,0
05:00,249,0,207,0,284,0,345,0,289,0,159,0,570,0
06:00,879,0,838,0,760,0,979,0,830,0,358,0,360,0
07:00,1235,0,1605,0,1563,0,1984,0,2007,0,477,0,437,0
08:00,2896,0,3220,0,2761,0,3583,0,3980,0,792,0,603,0
09:00,3240,0,2834,0,2526,0,3213,0,3437,0,1630,0,988,0
10:00,3616,0,3143,0,3195,0,3676,0,3745,0,3905,0,1958,0
11:00,4851,0,4641,0,4215,0,4898,0,5342,0,7817,0,4202,0
12:00,7103,0,6749,0,6976,0,8644,0,9560,0,10217,0,6650,0
13:00,10026,0,10851,0,10272,0,12981,0,13559,0,12357,0,7754,0
14:00,6972,0,8857,0,8958,0,8907,0,9058,0,12989,0,7480,0
15:00,6580,0,8603,0,8334,0,7005,0,7757,0,11189,0,8345,0
16:00,7789,0,8551,0,9165,0,6641,0,7816,0,8878,0,7484,0
17:00,9997,0,9408,0,10095,0,7067,0,10997,0,8670,0,7143,0
18:00,7135,0,7115,0,8100,0,9124,0,8211,0,6750,0,5350,0
19:00,3177,0,3614,0,4086,0,6789,0,3577,0,3505,0,2924,0
20:00,1893,0,2243,0,2519,0,4520,0,2230,0,2708,0,1655,0
21:00,1429,0,2006,0,1826,0,2786,0,1736,0,2122,0,1140,0
22:00,1125,0,1355,0,1337,0,1502,0,1234,0,1801,0,872,0
23:00,520,0,732,0,729,0,1029,0,945,0,1537,0,724,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,17,0,17,0,21,0,20,0,13,0,42,0,35,0
01:00,15,0,6,0,9,0,8,0,12,0,16,0,27,0
02:00,12,0,25,0,29,0,9,0,25,0,21,0,34,0
03:00,61,0,64,0,56,0,66,0,87,0,217,0,382,0
04:00,115,0,60,0,44,0,89,0,73,0,233,0,530,0
05:00,116,0,84,0,102,0,77,0,83,0,86,0,96,0
06:00,351,0,324,0,254,0,322,0,315,0,171,0,112,0
07:00,704,0,730,0,829,0,548,0,885,0,364,0,140,0
08:00,2183,0,1861,0,2684,0,1990,0,2078,0,839,0,360,0
09:00,2516,0,2087,0,3082,0,2243,0,2166,0,1553,0,827,0
10:00,2606,0,4369,0,3400,0,3123,0,3140,0,3254,0,1754,0
11:00,4154,0,5302,0,4897,0,4484,0,4914,0,5316,0,3031,0
12:00,6016,0,5827,0,6647,0,5876,0,6500,0,6803,0,4911,0
13:00,7380,0,7098,0,7077,0,8150,0,7593,0,8357,0,5800,0
