"Hourly By Entrance - Week 18, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,425,0,397,0,367,0,417,0,624,0,972,0,1083,0
01:00,189,0,156,0,78,0,171,0,302,0,517,0,511,0
02:00,99,0,117,0,67,0,132,0,243,0,449,0,534,0
03:00,145,0,273,0,67,0,133,0,289,0,449,0,558,0
04:00,91,0,192,0,99,0,116,0,191,0,184,0,252,0
05:00,116,0,167,0,100,0,78,0,89,0,100,0,99,0
06:00,682,0,569,0,536,0,27,0,437,0,190,0,119,0
07:00,1495,0,1224,0,1150,0,682,0,1101,0,457,0,155,0
08:00,3434,0,2511,0,2458,0,2175,0,2158,0,772,0,395,0
09:00,2439,0,2129,0,2232,0,2114,0,2177,0,1326,0,722,0
10:00,2574,0,2171,0,2107,0,2174,0,2376,0,2438,0,1511,0
11:00,2661,0,2320,0,2399,0,2242,0,2544,0,2908,0,2002,0
12:00,3287,0,3590,0,2993,0,3346,0,3565,0,3546,0,2306,0
13:00,4894,0,4827,0,3761,0,5019,0,4029,0,4919,0,2987,0
14:00,4152,0,4186,0,2899,0,4098,0,3882,0,4519,0,3023,0
15:00,3787,0,5420,0,3365,0,4906,0,4269,0,4930,0,4083,0
16:00,4054,0,7412,0,3904,0,6213,0,4260,0,3581,0,4258,0
17:00,4115,0,9459,0,3826,0,6437,0,9244,0,3752,0,5187,0
18:00,3191,0,7742,0,3104,0,5472,0,5373,0,3546,0,4626,0
19:00,1677,0,1791,0,1760,0,2501,0,2383,0,2316,0,1656,0
20:00,1395,0,1481,0,1454,0,2230,0,2018,0,1898,0,1663,0
21:00,1297,0,1495,0,1203,0,1876,0,1970,0,2194,0,1665,0
22:00,1263,0,1208,0,1326,0,1634,0,1950,0,2562,0,1807,0
23:00,908,0,696,0,869,0,1185,0,1409,0,1788,0,1296,0
,,,,,,,,,,,,,,
