"Hourly By Entrance - Week 12, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,880,0,826,0,403,0,274,0,848,0,349,0,710,0
01:00,683,0,664,0,112,0,136,0,250,0,113,0,332,0
02:00,700,0,491,0,91,0,109,0,77,0,54,0,379,0
03:00,777,0,316,0,69,0,136,0,64,0,18,0,426,0
04:00,304,0,180,0,41,0,65,0,36,0,30,0,146,0
05:00,114,0,176,0,124,0,98,0,88,0,54,0,116,0
06:00,186,0,623,0,661,0,593,0,586,0,168,0,194,0
07:00,366,0,1410,0,1325,0,1242,0,1345,0,435,0,434,0
08:00,700,0,1633,0,1931,0,2064,0,2309,0,609,0,784,0
09:00,1650,0,1781,0,2178,0,1812,0,2540,0,1278,0,1578,0
10:00,2559,0,2187,0,2482,0,2174,0,2744,0,2296,0,2244,0
11:00,4381,0,3807,0,2676,0,3086,0,2433,0,3317,0,2670,0
12:00,8937,0,3782,0,3305,0,3203,0,3113,0,3804,0,3700,0
13:00,12333,0,4702,0,4634,0,3859,0,4133,0,4040,0,2308,0
14:00,16109,0,4507,0,3857,0,3576,0,4091,0,3746,0,2245,0
15:00,12948,0,3782,0,3640,0,3784,0,4573,0,4243,0,2069,0
16:00,4188,0,4249,0,3373,0,5072,0,2650,0,2859,0,1681,0
17:00,4268,0,4072,0,3823,0,4712,0,2746,0,2982,0,1496,0
18:00,2855,0,3431,0,3076,0,3446,0,2249,0,2572,0,1707,0
19:00,2781,0,2248,0,2381,0,2455,0,1952,0,2426,0,1729,0
20:00,2403,0,1713,0,1880,0,2253,0,1648,0,1991,0,1665,0
21:00,1769,0,1174,0,1151,0,1546,0,1127,0,1610,0,1371,0
22:00,1743,0,1099,0,1287,0,1327,0,1128,0,1600,0,1298,0
23:00,1191,0,761,0,743,0,891,0,626,0,1208,0,854,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1681,0,1177,0,371,0,462,0,1475,0,449,0,1778,0
01:00,1296,0,1112,0,228,0,237,0,366,0,129,0,934,0
02:00,1654,0,587,0,154,0,218,0,105,0,52,0,1146,0
03:00,1831,0,636,0,144,0,245,0,137,0,78,0,1813,0
04:00,893,0,235,0,122,0,184,0,96,0,109,0,635,0
05:00,189,0,325,0,324,0,414,0,370,0,109,0,208,0
06:00,254,0,695,0,723,0,779,0,510,0,345,0,185,0
07:00,357,0,1211,0,1416,0,1372,0,783,0,480,0,159,0
08:00,539,0,2561,0,3222,0,3159,0,633,0,763,0,273,0
09:00,1049,0,2167,0,2420,0,1924,0,1539,0,1526,0,501,0
10:00,3470,0,2799,0,2894,0,2617,0,2294,0,3123,0,1226,0
11:00,8507,0,4956,0,4047,0,3856,0,4834,0,6098,0,2650,0
