"Hourly By Entrance - Week 42, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,418,0,348,0,343,0,599,0,577,0,938,0,947,0
01:00,221,0,160,0,164,0,209,0,316,0,498,0,705,0
02:00,170,0,194,0,116,0,165,0,357,0,465,0,741,0
03:00,119,0,179,0,185,0,278,0,264,0,477,0,893,0
04:00,77,0,63,0,122,0,97,0,164,0,116,0,193,0
05:00,158,0,171,0,125,0,176,0,185,0,90,0,88,0
06:00,543,0,614,0,569,0,557,0,584,0,223,0,135,0
07:00,1164,0,1264,0,1129,0,1111,0,1230,0,495,0,168,0
08:00,2483,0,3081,0,2984,0,2734,0,2527,0,698,0,268,0
09:00,2077,0,2733,0,2231,0,1989,0,2026,0,1289,0,681,0
10:00,2202,0,3107,0,2084,0,2026,0,2185,0,2311,0,1225,0
11:00,2451,0,2724,0,2502,0,2390,0,2682,0,3015,0,1594,0
12:00,3319,0,3435,0,3382,0,4554,0,3374,0,3649,0,1835,0
13:00,5034,0,4146,0,3908,0,5578,0,5377,0,3702,0,2201,0
14:00,6671,0,3004,0,5339,0,5653,0,3990,0,4873,0,3066,0
15:00,4157,0,3585,0,4100,0,3562,0,4747,0,4636,0,2947,0
16:00,2972,0,3846,0,4057,0,3501,0,4004,0,3600,0,2191,0
17:00,3851,0,5235,0,5390,0,3921,0,4058,0,3660,0,2235,0
18:00,3107,0,3902,0,5333,0,3731,0,3686,0,3419,0,2477,0
19:00,2186,0,2218,0,3374,0,3017,0,2895,0,2706,0,2163,0
20:00,1899,0,1857,0,1817,0,2624,0,2597,0,2706,0,2050,0
21:00,1504,0,1316,0,1596,0,1861,0,1865,0,2268,0,1627,0
22:00,1214,0,1135,0,5658,0,1377,0,1795,0,2228,0,1380,0
23:00,930,0,836,0,1442,0,1070,0,1606,0,1652,0,781,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,415,0,538,0,580,0,999,0,1593,0,2032,0,2702,0
01:00,242,0,218,0,315,0,439,0,513,0,1276,0,1766,0
02:00,116,0,145,0,388,0,395,0,438,0,1131,0,1570,0
03:00,85,0,607,0,299,0,404,0,493,0,1916,0,2503,0
04:00,104,0,95,0,171,0,173,0,172,0,534,0,885,0
05:00,342,0,288,0,357,0,263,0,347,0,216,0,154,0
