"Hourly By Entrance - Week 38, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,357,0,313,0,292,0,416,0,567,0,1021,0,1156,0
01:00,187,0,155,0,135,0,159,0,349,0,592,0,761,0
02:00,121,0,109,0,135,0,128,0,266,0,515,0,746,0
03:00,120,0,179,0,135,0,131,0,282,0,485,0,918,0
04:00,97,0,80,0,66,0,63,0,112,0,154,0,260,0
05:00,163,0,138,0,171,0,135,0,148,0,107,0,112,0
06:00,558,0,481,0,528,0,488,0,502,0,262,0,156,0
07:00,1041,0,1004,0,1125,0,995,0,1112,0,419,0,248,0
08:00,2116,0,2131,0,2409,0,1935,0,2196,0,732,0,319,0
09:00,1995,0,2018,0,2089,0,1974,0,2206,0,1306,0,799,0
10:00,2201,0,2412,0,2209,0,2188,0,2368,0,1932,0,2008,0
11:00,2569,0,2562,0,2352,0,2414,0,2609,0,2630,0,4910,0
12:00,3063,0,3174,0,3053,0,3387,0,3559,0,4152,0,7211,0
13:00,3783,0,3819,0,3812,0,4868,0,4003,0,5614,0,6529,0
14:00,3268,0,3599,0,3496,0,5494,0,3726,0,7181,0,3118,0
15:00,3559,0,4208,0,3464,0,3486,0,3841,0,7478,0,2840,0
16:00,3269,0,3995,0,3954,0,3840,0,4114,0,6079,0,2914,0
17:00,3687,0,4228,0,4206,0,4102,0,4196,0,3144,0,5046,0
18:00,3212,0,3575,0,2937,0,3349,0,3027,0,3302,0,5328,0
19:00,2166,0,2375,0,2041,0,2563,0,2450,0,2799,0,3419,0
20:00,1774,0,2115,0,2039,0,2639,0,2716,0,3313,0,3504,0
21:00,1212,0,1408,0,1510,0,1792,0,2324,0,2776,0,2410,0
22:00,1204,0,1383,0,1359,0,1556,0,2054,0,2769,0,1993,0
23:00,614,0,943,0,873,0,1015,0,1655,0,2024,0,1300,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,358,0,738,0,589,0,1093,0,1168,0,2619,0,3342,0
01:00,282,0,267,0,250,0,604,0,589,0,1593,0,2445,0
02:00,139,0,217,0,207,0,460,0,486,0,1332,0,2251,0
03:00,131,0,272,0,181,0,515,0,410,0,1893,0,3359,0
04:00,108,0,193,0,168,0,190,0,226,0,563,0,1347,0
05:00,308,0,210,0,307,0,304,0,273,0,248,0,200,0
06:00,791,0,693,0,558,0,500,0,710,0,473,0,304,0
07:00,1388,0,1318,0,931,0,1237,0,599,0,457,0,305,0
08:00,3002,0,3005,0,2616,0,2427,0,1318,0,800,0,349,0
09:00,2607,0,2713,0,2411,0,1537,0,2761,0,1655,0,648,0
10:00,2749,0,2246,0,2802,0,2307,0,3040,0,2863,0,1625,0
11:00,3620,0,3284,0,3287,0,3758,0,3978,0,5987,0,3805,0
12:00,5575,0,5482,0,6265,0,6214,0,6763,0,9100,0,5917,0
13:00,8795,0,8281,0,9616,0,9932,0,9866,0,9206,0,6677,0
14:00,6382,0,6784,0,7354,0,8558,0,8157,0,10884,0,7329,0
15:00,6214,0,6289,0,7095,0,7504,0,8455,0,10168,0,6378,0
16:00,6287,0,6705,0,7597,0,7288,0,8563,0,9254,0,5418,0
17:00,8287,0,8114,0,9012,0,9460,0,9667,0,9928,0,5544,0
18:00,5090,0,5835,0,6917,0,9461,0,6720,0,7006,0,4094,0
19:00,2688,0,3441,0,3861,0,7877,0,4978,0,4329,0,2656,0
20:00,2376,0,2129,0,2750,0,5480,0,4397,0,4267,0,2186,0
21:00,1831,0,1668,0,2032,0,2341,0,4138,0,3984,0,1868,0
22:00,1618,0,1294,0,2013,0,1967,0,4192,0,4201,0,1395,0
23:00,1015,0,1009,0,1406,0,1549,0,3409,0,3728,0,1000,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,519,0,368,0,462,0,605,0,562,0,762,0,1497,0
01:00,305,0,109,0,157,0,293,0,226,0,548,0,1357,0
02:00,171,0,136,0,178,0,235,0,162,0,652,0,1352,0
03:00,298,0,184,0,263,0,346,0,210,0,993,0,1625,0
04:00,206,0,109,0,282,0,173,0,149,0,290,0,1363,0
05:00,214,0,214,0,262,0,372,0,258,0,150,0,469,0
06:00,1160,0,708,0,857,0,631,0,751,0,341,0,296,0
07:00,1355,0,1216,0,1677,0,1772,0,1822,0,455,0,358,0
08:00,1745,0,3032,0,3896,0,2554,0,3619,0,757,0,497,0
09:00,1984,0,2812,0,2960,0,2259,0,3124,0,1562,0,816,0
10:00,2666,0,2673,0,2494,0,2856,0,3404,0,3745,0,1620,0
11:00,4949,0,3456,0,3937,0,4291,0,4860,0,7500,0,3480,0
12:00,7605,0,6905,0,5963,0,7424,0,8702,0,9811,0,5513,0
13:00,10506,0,10431,0,9910,0,9500,0,12342,0,11864,0,6427,0
14:00,8286,0,6950,0,7331,0,7100,0,8247,0,12472,0,6200,0
15:00,5600,0,6355,0,6025,0,6307,0,7062,0,10743,0,6918,0
16:00,3746,0,6699,0,5157,0,7092,0,7114,0,8523,0,6203,0
17:00,8098,0,8915,0,9960,0,10123,0,10010,0,8325,0,5921,0
18:00,5416,0,5713,0,5954,0,9679,0,7473,0,6481,0,4435,0
19:00,2787,0,2739,0,3199,0,5878,0,3256,0,3365,0,2425,0
20:00,1941,0,1666,0,2183,0,3510,0,2031,0,2599,0,1373,0
21:00,1488,0,1491,0,1567,0,2138,0,1580,0,2037,0,944,0
22:00,1126,0,1132,0,1129,0,1741,0,1124,0,1728,0,722,0
23:00,995,0,749,0,1023,0,1242,0,860,0,1473,0,599,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,122,0,122,0,162,0,192,0,135,0,525,0,612,0
01:00,130,0,136,0,129,0,136,0,149,0,478,0,510,0
02:00,91,0,97,0,117,0,147,0,96,0,369,0,416,0
03:00,52,0,55,0,76,0,54,0,64,0,293,0,391,0
04:00,45,0,47,0,29,0,33,0,45,0,159,0,282,0
05:00,105,0,124,0,104,0,144,0,138,0,162,0,143,0
06:00,364,0,291,0,305,0,321,0,395,0,229,0,203,0
07:00,903,0,736,0,787,0,661,0,689,0,316,0,118,0
08:00,2073,0,1971,0,2090,0,1367,0,1758,0,692,0,198,0
09:00,2280,0,2267,0,2398,0,3236,0,2020,0,2314,0,893,0
10:00,3010,0,2843,0,3000,0,4747,0,2614,0,5749,0,3682,0
11:00,3927,0,4345,0,4014,0,5649,0,4536,0,7144,0,7431,0
12:00,5626,0,5730,0,5646,0,6301,0,6657,0,8260,0,8251,0
13:00,7745,0,7587,0,8028,0,6856,0,6988,0,7584,0,5278,0
14:00,6379,0,6892,0,7137,0,5506,0,7719,0,8716,0,5566,0
15:00,7088,0,7590,0,7681,0,7101,0,8255,0,8002,0,4658,0
16:00,8020,0,7919,0,7925,0,7579,0,8629,0,7639,0,3688,0
17:00,7916,0,8640,0,8075,0,9070,0,8554,0,7470,0,5932,0
18:00,4795,0,5950,0,5650,0,6483,0,5707,0,4852,0,4233,0
19:00,1938,0,2321,0,2675,0,4702,0,3389,0,2869,0,2972,0
20:00,2033,0,2284,0,2134,0,3559,0,3034,0,2627,0,2619,0
21:00,920,0,1036,0,978,0,1017,0,1014,0,1025,0,1245,0
22:00,716,0,785,0,844,0,829,0,761,0,834,0,1003,0
23:00,647,0,667,0,723,0,734,0,704,0,728,0,772,0
,,,,,,,,,,,,,,
Entrance Name: Henry Street at Butlers,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,84,0,92,0,79,0,124,0,145,0,255,0,259,0
01:00,57,0,76,0,35,0,74,0,62,0,193,0,249,0
02:00,75,0,100,0,89,0,64,0,145,0,193,0,256,0
03:00,14,0,89,0,17,0,61,0,76,0,140,0,287,0
04:00,55,0,146,0,62,0,91,0,77,0,79,0,102,0
05:00,244,0,247,0,269,0,358,0,268,0,155,0,47,0
06:00,393,0,453,0,421,0,495,0,462,0,255,0,127,0
07:00,607,0,855,0,940,0,749,0,858,0,423,0,113,0
08:00,1249,0,1837,0,1899,0,955,0,1837,0,792,0,151,0
09:00,2130,0,2192,0,2236,0,2393,0,2197,0,2726,0,683,0
10:00,2626,0,2807,0,2834,0,3733,0,3038,0,4938,0,2348,0
11:00,3918,0,3812,0,3979,0,4298,0,4452,0,5242,0,3536,0
12:00,5410,0,5270,0,5348,0,4684,0,5450,0,3781,0,2959,0
13:00,6601,0,6372,0,6995,0,5648,0,6777,0,5256,0,4041,0
