"Hourly By Entrance - Week 50, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,283,0,322,0,264,0,443,0,566,0,808,0,807,0
01:00,210,0,96,0,98,0,164,0,313,0,589,0,455,0
02:00,137,0,141,0,91,0,159,0,307,0,451,0,487,0
03:00,46,0,140,0,138,0,159,0,235,0,474,0,816,0
04:00,105,0,72,0,68,0,70,0,112,0,136,0,149,0
05:00,139,0,151,0,156,0,161,0,157,0,87,0,73,0
06:00,491,0,514,0,487,0,534,0,460,0,205,0,107,0
07:00,1282,0,1186,0,1124,0,1177,0,1201,0,396,0,240,0
08:00,2397,0,2120,0,2563,0,1952,0,2120,0,563,0,373,0
09:00,2564,0,1908,0,2117,0,1422,0,1870,0,1220,0,552,0
10:00,3062,0,2245,0,2128,0,1388,0,2062,0,2382,0,1129,0
11:00,6409,0,5217,0,2940,0,3329,0,2484,0,3188,0,1645,0
12:00,11238,0,7139,0,4362,0,7659,0,3376,0,4401,0,2567,0
13:00,10652,0,4258,0,4399,0,8042,0,4119,0,5179,0,2745,0
14:00,5083,0,3716,0,3084,0,2694,0,3828,0,5261,0,3130,0
15:00,3282,0,3223,0,3252,0,3100,0,4093,0,6031,0,3516,0
16:00,4256,0,3864,0,3723,0,4229,0,4770,0,5945,0,3482,0
17:00,4955,0,4444,0,4650,0,5207,0,4705,0,5764,0,3913,0
18:00,3202,0,3353,0,4152,0,4001,0,3589,0,3845,0,2793,0
19:00,1856,0,2152,0,2597,0,2641,0,2686,0,2751,0,1946,0
20:00,1591,0,1693,0,1688,0,2202,0,2246,0,2267,0,1611,0
21:00,1037,0,1278,0,1310,0,1809,0,1551,0,1569,0,1171,0
22:00,861,0,1082,0,2421,0,1384,0,1424,0,1689,0,1225,0
23:00,697,0,645,0,1063,0,1060,0,1251,0,1628,0,697,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,480,0,527,0,580,0,819,0,1412,0,2104,0,3289,0
01:00,230,0,225,0,169,0,442,0,609,0,1720,0,1747,0
02:00,271,0,171,0,217,0,295,0,570,0,2093,0,1991,0
03:00,131,0,241,0,148,0,215,0,457,0,2485,0,3017,0
04:00,165,0,201,0,228,0,209,0,321,0,747,0,1007,0
05:00,390,0,350,0,278,0,279,0,260,0,238,0,146,0
06:00,931,0,940,0,609,0,599,0,721,0,493,0,158,0
07:00,1650,0,1777,0,1737,0,860,0,1474,0,612,0,436,0
08:00,3997,0,3703,0,3118,0,3560,0,3174,0,1156,0,328,0
09:00,3977,0,2845,0,3133,0,3008,0,2271,0,1251,0,819,0
10:00,3191,0,3183,0,3413,0,3047,0,2176,0,5084,0,1753,0
11:00,4421,0,3976,0,5819,0,4590,0,5214,0,8953,0,4353,0
12:00,7671,0,6847,0,10323,0,8133,0,8236,0,11209,0,7722,0
13:00,11329,0,10247,0,12386,0,10827,0,10564,0,12023,0,10376,0
14:00,7681,0,7426,0,9888,0,8305,0,9342,0,12320,0,11448,0
15:00,7407,0,7823,0,9328,0,8938,0,9841,0,12504,0,12131,0
16:00,10471,0,10557,0,11025,0,11596,0,11870,0,13442,0,13555,0
17:00,14557,0,12837,0,12802,0,13265,0,12679,0,13612,0,12725,0
18:00,10707,0,11395,0,11588,0,13318,0,11042,0,11188,0,8587,0
19:00,5229,0,6196,0,7233,0,11774,0,6870,0,6960,0,3612,0
20:00,2817,0,3520,0,3669,0,7014,0,4354,0,4276,0,2047,0
21:00,1957,0,2229,0,2057,0,2859,0,2579,0,3553,0,1278,0
22:00,1489,0,1472,0,1486,0,1661,0,2075,0,2981,0,972,0
23:00,1013,0,998,0,1249,0,1531,0,2208,0,4253,0,858,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,421,0,345,0,637,0,836,0,690,0,1007,0,1981,0
01:00,266,0,160,0,273,0,387,0,275,0,722,0,1794,0
02:00,227,0,191,0,239,0,322,0,196,0,857,0,1786,0
03:00,236,0,136,0,257,0,547,0,256,0,1310,0,2151,0
04:00,144,0,141,0,191,0,234,0,179,0,378,0,1801,0
05:00,290,0,259,0,388,0,374,0,314,0,194,0,616,0
06:00,772,0,713,0,944,0,848,0,923,0,445,0,387,0
07:00,1376,0,1371,0,2006,0,1622,0,2247,0,597,0,470,0
08:00,3927,0,3258,0,4808,0,4279,0,4467,0,997,0,654,0
09:00,3259,0,2654,0,3724,0,3224,0,3855,0,2064,0,1076,0
10:00,3128,0,3082,0,3821,0,3314,0,4203,0,4954,0,2140,0
11:00,4477,0,4788,0,4880,0,4384,0,5999,0,9925,0,4607,0
12:00,7535,0,7561,0,9075,0,7550,0,10753,0,12993,0,7310,0
13:00,9760,0,12287,0,13725,0,11771,0,15251,0,15712,0,8522,0
14:00,7665,0,8971,0,9272,0,8121,0,10190,0,16517,0,8219,0
15:00,8085,0,7630,0,7839,0,7809,0,8725,0,14227,0,9175,0
16:00,7961,0,8314,0,8923,0,9080,0,8790,0,11287,0,8224,0
17:00,9825,0,10059,0,12077,0,13287,0,12368,0,11024,0,7853,0
18:00,6648,0,6911,0,9254,0,12042,0,9233,0,8582,0,5881,0
19:00,3206,0,3536,0,4622,0,7103,0,4022,0,4456,0,3217,0
20:00,2158,0,2220,0,2900,0,4508,0,2508,0,3442,0,1822,0
21:00,1612,0,1706,0,2408,0,2910,0,1952,0,2696,0,1251,0
22:00,1239,0,1351,0,2022,0,2120,0,1388,0,2287,0,957,0
23:00,905,0,1137,0,1535,0,1736,0,1061,0,1952,0,794,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,167,0,402,0,378,0,358,0,452,0,923,0,1219,0
01:00,114,0,461,0,463,0,412,0,339,0,734,0,1015,0
02:00,139,0,275,0,295,0,275,0,427,0,858,0,804,0
03:00,100,0,181,0,187,0,161,0,381,0,1082,0,1390,0
04:00,69,0,47,0,73,0,73,0,98,0,268,0,332,0
05:00,111,0,133,0,133,0,80,0,111,0,91,0,117,0
06:00,257,0,288,0,225,0,267,0,268,0,256,0,177,0
07:00,785,0,829,0,755,0,794,0,752,0,328,0,142,0
08:00,2657,0,1507,0,1868,0,2071,0,1555,0,928,0,257,0
09:00,3363,0,1659,0,2201,0,2205,0,2049,0,1528,0,487,0
10:00,4837,0,3449,0,3176,0,3004,0,2974,0,4470,0,1110,0
11:00,6598,0,5783,0,4926,0,4569,0,4889,0,7194,0,2250,0
12:00,8554,0,5952,0,7173,0,6556,0,7419,0,8077,0,4071,0
13:00,9874,0,8308,0,8590,0,8134,0,8675,0,9844,0,6028,0
14:00,8989,0,6839,0,7385,0,7098,0,8075,0,10336,0,7593,0
15:00,8166,0,6922,0,7501,0,8433,0,8436,0,10194,0,8571,0
16:00,9638,0,8126,0,8419,0,8886,0,8739,0,11052,0,9590,0
17:00,6969,0,7563,0,7625,0,8145,0,7509,0,9203,0,7774,0
18:00,6459,0,7045,0,6945,0,5329,0,6634,0,8128,0,5265,0
19:00,3445,0,4120,0,3671,0,2945,0,3221,0,5057,0,3062,0
20:00,2119,0,2519,0,2215,0,1694,0,1918,0,3449,0,2428,0
21:00,1810,0,1708,0,1568,0,1309,0,1688,0,2744,0,2018,0
22:00,1422,0,1375,0,1249,0,1036,0,1475,0,2042,0,1516,0
23:00,947,0,766,0,857,0,824,0,1236,0,1724,0,969,0
,,,,,,,,,,,,,,
Entrance Name: Henry Street at Butlers,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,138,0,81,0,86,0,171,0,209,0,328,0,343,0
01:00,80,0,46,0,45,0,79,0,106,0,226,0,272,0
02:00,70,0,63,0,104,0,118,0,140,0,207,0,231,0
03:00,120,0,105,0,100,0,86,0,128,0,222,0,333,0
04:00,113,0,84,0,129,0,165,0,160,0,93,0,109,0
05:00,233,0,205,0,300,0,354,0,401,0,173,0,48,0
06:00,435,0,484,0,483,0,569,0,584,0,326,0,175,0
07:00,741,0,787,0,930,0,993,0,1063,0,522,0,188,0
08:00,1336,0,1170,0,1212,0,1633,0,1679,0,1112,0,240,0
