"Hourly By Entrance - Week 13, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,421,0,266,0,270,0,362,0,680,0,656,0,708,0
01:00,208,0,83,0,179,0,134,0,359,0,402,0,0,0
02:00,302,0,111,0,141,0,174,0,273,0,327,0,354,0
03:00,605,0,98,0,124,0,105,0,291,0,297,0,543,0
04:00,213,0,26,0,107,0,52,0,143,0,124,0,651,0
05:00,107,0,204,0,188,0,109,0,186,0,363,0,209,0
06:00,124,0,739,0,663,0,654,0,588,0,725,0,118,0
07:00,230,0,1531,0,1410,0,964,0,1157,0,1460,0,213,0
08:00,371,0,2576,0,2469,0,1593,0,1907,0,2442,0,352,0
09:00,851,0,2384,0,2402,0,2160,0,1827,0,2209,0,746,0
10:00,1268,0,2342,0,2808,0,2446,0,2311,0,2380,0,1160,0
11:00,1517,0,3059,0,3342,0,3194,0,2533,0,2627,0,1567,0
12:00,2317,0,3619,0,4331,0,5218,0,4578,0,3648,0,1934,0
13:00,3062,0,3878,0,6969,0,6949,0,4778,0,4438,0,2659,0
14:00,2757,0,4885,0,6059,0,7569,0,4869,0,4306,0,2941,0
15:00,2911,0,4200,0,6771,0,7933,0,4204,0,8453,0,2410,0
16:00,2110,0,4193,0,3119,0,4356,0,4562,0,3434,0,2570,0
17:00,2449,0,4068,0,3697,0,4676,0,4100,0,3587,0,2686,0
18:00,1888,0,3368,0,3193,0,3258,0,3419,0,2654,0,2357,0
19:00,1762,0,1708,0,2022,0,2788,0,2453,0,2383,0,1962,0
20:00,1646,0,1731,0,1849,0,2270,0,2050,0,2002,0,1563,0
21:00,1151,0,1150,0,1254,0,1545,0,1646,0,1858,0,1080,0
22:00,1057,0,1062,0,1323,0,1364,0,1448,0,1736,0,1009,0
23:00,673,0,755,0,860,0,918,0,1063,0,1152,0,509,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,734,0,326,0,390,0,671,0,740,0,1562,0,1863,0
01:00,502,0,157,0,225,0,258,0,378,0,1387,0,0,0
02:00,691,0,103,0,164,0,229,0,374,0,1119,0,1243,0
03:00,964,0,157,0,133,0,292,0,295,0,1299,0,1459,0
04:00,379,0,168,0,156,0,219,0,137,0,631,0,2842,0
05:00,187,0,271,0,310,0,365,0,306,0,207,0,811,0
06:00,185,0,610,0,575,0,639,0,754,0,451,0,222,0
07:00,249,0,1239,0,1412,0,1120,0,1268,0,514,0,268,0
08:00,363,0,3305,0,3290,0,2608,0,2575,0,850,0,224,0
09:00,745,0,2527,0,2654,0,2431,0,2936,0,1853,0,509,0
10:00,1417,0,2874,0,2737,0,2901,0,3468,0,2941,0,886,0
11:00,3163,0,4562,0,4324,0,4680,0,4628,0,5709,0,2214,0
12:00,4610,0,7016,0,7903,0,8060,0,7251,0,8435,0,3719,0
13:00,7478,0,10068,0,11082,0,12038,0,9151,0,9597,0,5951,0
14:00,7589,0,8359,0,9295,0,9976,0,7878,0,10347,0,7472,0
15:00,7593,0,7829,0,7571,0,8432,0,8362,0,8754,0,8580,0
16:00,7381,0,7494,0,7834,0,9122,0,7613,0,10632,0,7757,0
17:00,5606,0,9605,0,9194,0,10612,0,9292,0,9682,0,6688,0
18:00,3207,0,6513,0,7048,0,10493,0,6739,0,6125,0,3610,0
19:00,2169,0,3704,0,4283,0,9891,0,4685,0,4036,0,1544,0
20:00,1641,0,2272,0,2676,0,5713,0,3046,0,2680,0,1384,0
21:00,1100,0,1255,0,1921,0,2750,0,2808,0,2557,0,976,0
22:00,1046,0,997,0,1458,0,1629,0,2358,0,2667,0,1179,0
23:00,788,0,736,0,1156,0,1162,0,2423,0,2456,0,934,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,533,0,243,0,273,0,304,0,285,0,1232,0,1005,0
01:00,364,0,79,0,119,0,130,0,121,0,940,0,0,0
02:00,476,0,85,0,125,0,153,0,143,0,1080,0,881,0
03:00,704,0,164,0,123,0,175,0,164,0,1652,0,974,0
04:00,267,0,115,0,101,0,143,0,134,0,603,0,1390,0
05:00,102,0,223,0,243,0,229,0,214,0,207,0,510,0
06:00,200,0,433,0,602,0,779,0,729,0,390,0,265,0
07:00,424,0,1705,0,1399,0,1978,0,1851,0,651,0,275,0
08:00,471,0,3692,0,3991,0,3994,0,3737,0,1042,0,382,0
09:00,1047,0,3246,0,3119,0,3232,0,3024,0,1711,0,519,0
10:00,1974,0,2617,0,2304,0,3334,0,3120,0,2917,0,929,0
11:00,3217,0,3583,0,3628,0,4303,0,4027,0,4879,0,2026,0
12:00,4508,0,6641,0,5715,0,8112,0,7591,0,8680,0,3255,0
13:00,5182,0,10907,0,9514,0,11553,0,10811,0,11084,0,4391,0
14:00,6407,0,7867,0,7635,0,6662,0,6234,0,11443,0,4575,0
15:00,5977,0,4824,0,7030,0,5755,0,5386,0,10265,0,5153,0
16:00,3763,0,5096,0,6832,0,7014,0,6564,0,7838,0,4809,0
17:00,4070,0,8210,0,9816,0,10247,0,9589,0,8434,0,4744,0
18:00,4170,0,6117,0,8730,0,7732,0,7236,0,5942,0,3170,0
19:00,2716,0,3645,0,3498,0,3040,0,2845,0,3512,0,1886,0
20:00,1578,0,1756,0,1918,0,1877,0,1756,0,2171,0,1003,0
21:00,815,0,1125,0,1202,0,1608,0,1505,0,2005,0,641,0
22:00,549,0,705,0,1658,0,1153,0,1079,0,2048,0,480,0
23:00,442,0,464,0,786,0,888,0,831,0,1681,0,414,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,58,0,35,0,22,0,43,0,32,0,82,0,50,0
01:00,50,0,15,0,5,0,20,0,23,0,59,0,0,0
02:00,447,0,71,0,81,0,117,0,160,0,321,0,50,0
03:00,990,0,129,0,99,0,148,0,244,0,823,0,523,0
04:00,324,0,46,0,54,0,39,0,66,0,259,0,1200,0
