"Hourly By Entrance - Week 47, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,304,0,282,0,296,0,635,0,702,0,897,0,728,0
01:00,199,0,102,0,113,0,171,0,293,0,555,0,554,0
02:00,143,0,138,0,96,0,186,0,293,0,305,0,583,0
03:00,122,0,165,0,121,0,184,0,315,0,412,0,741,0
04:00,68,0,101,0,96,0,61,0,77,0,175,0,146,0
05:00,171,0,206,0,181,0,168,0,168,0,85,0,104,0
06:00,609,0,534,0,484,0,587,0,487,0,271,0,152,0
07:00,1214,0,1118,0,1015,0,1228,0,1145,0,443,0,165,0
08:00,2630,0,2370,0,2238,0,2345,0,2050,0,708,0,261,0
09:00,2170,0,1784,0,1937,0,1819,0,2103,0,1243,0,609,0
10:00,2168,0,2017,0,1944,0,1923,0,2364,0,2222,0,1129,0
11:00,2664,0,2324,0,2162,0,3151,0,4017,0,3432,0,2600,0
12:00,3830,0,3030,0,2848,0,5988,0,8335,0,5164,0,1970,0
13:00,3875,0,4655,0,3538,0,5514,0,5948,0,6602,0,2261,0
14:00,2862,0,2822,0,3146,0,3091,0,3898,0,4989,0,2217,0
15:00,3229,0,2998,0,3331,0,3255,0,3664,0,4023,0,2550,0
16:00,3486,0,3144,0,3779,0,4512,0,4302,0,5336,0,2981,0
17:00,4245,0,4883,0,5249,0,5087,0,5262,0,10620,0,2924,0
18:00,2915,0,3636,0,5240,0,4019,0,3979,0,4687,0,2471,0
19:00,2122,0,2061,0,3134,0,2103,0,2934,0,3790,0,1770,0
20:00,1500,0,1572,0,1747,0,1840,0,2467,0,2609,0,1590,0
21:00,1015,0,1341,0,1436,0,1839,0,1934,0,2235,0,1264,0
22:00,1027,0,1022,0,5027,0,1433,0,1745,0,2076,0,902,0
23:00,787,0,640,0,1522,0,1019,0,1321,0,1380,0,571,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,455,0,471,0,664,0,1153,0,1059,0,2045,0,2211,0
01:00,221,0,131,0,260,0,367,0,377,0,1410,0,1707,0
02:00,134,0,143,0,264,0,347,0,377,0,860,0,1557,0
03:00,81,0,170,0,219,0,529,0,375,0,1302,0,2535,0
04:00,129,0,111,0,223,0,143,0,169,0,384,0,909,0
05:00,295,0,242,0,278,0,327,0,336,0,201,0,130,0
06:00,646,0,647,0,597,0,566,0,676,0,406,0,288,0
07:00,1473,0,1518,0,1309,0,1644,0,1532,0,605,0,256,0
08:00,2641,0,3292,0,2183,0,3131,0,3067,0,916,0,275,0
09:00,2924,0,3020,0,2260,0,3253,0,2922,0,1696,0,560,0
10:00,2731,0,2702,0,2694,0,2737,0,2429,0,3797,0,1284,0
11:00,3214,0,3333,0,2975,0,3674,0,3640,0,7762,0,2984,0
12:00,5685,0,5974,0,5391,0,6150,0,6653,0,10035,0,5640,0
13:00,8341,0,9452,0,8950,0,10175,0,10259,0,10803,0,7645,0
14:00,5637,0,6382,0,6660,0,6154,0,8645,0,10871,0,8678,0
15:00,5195,0,5557,0,6505,0,6268,0,9076,0,11503,0,9661,0
16:00,7715,0,8003,0,8617,0,9616,0,10410,0,12658,0,10760,0
17:00,10654,0,11649,0,11955,0,12526,0,12767,0,13271,0,10243,0
18:00,7631,0,8393,0,10316,0,12205,0,10998,0,10003,0,6324,0
19:00,3807,0,4640,0,5672,0,9451,0,6628,0,6454,0,2950,0
20:00,2048,0,2577,0,2851,0,6420,0,4392,0,4600,0,1614,0
21:00,1384,0,2011,0,2341,0,3151,0,3484,0,3815,0,1144,0
22:00,1088,0,1493,0,2574,0,2068,0,3163,0,3589,0,904,0
23:00,708,0,1190,0,2131,0,1593,0,2833,0,2952,0,637,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,276,0,306,0,526,0,808,0,718,0,915,0,1876,0
01:00,120,0,149,0,222,0,379,0,286,0,658,0,1698,0
02:00,143,0,178,0,194,0,310,0,204,0,781,0,1692,0
03:00,124,0,118,0,208,0,524,0,267,0,1193,0,2036,0
04:00,82,0,129,0,159,0,225,0,187,0,345,0,1706,0
