"Hourly By Entrance - Week 23, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,3003,0,444,0,316,0,489,0,610,0,1385,0,1792,0
01:00,624,0,131,0,171,0,156,0,309,0,737,0,1109,0
02:00,350,0,143,0,121,0,148,0,179,0,444,0,600,0
03:00,404,0,101,0,70,0,145,0,169,0,431,0,599,0
04:00,137,0,54,0,56,0,69,0,106,0,128,0,211,0
05:00,77,0,82,0,84,0,97,0,136,0,64,0,51,0
06:00,124,0,431,0,492,0,607,0,509,0,210,0,94,0
07:00,250,0,1172,0,1174,0,1195,0,1281,0,388,0,187,0
08:00,379,0,1862,0,2298,0,2210,0,1769,0,662,0,304,0
09:00,770,0,1594,0,1907,0,1974,0,1641,0,1098,0,704,0
10:00,1057,0,1691,0,2057,0,2145,0,2231,0,2241,0,1262,0
11:00,1458,0,2126,0,2586,0,2818,0,2412,0,2410,0,1563,0
12:00,2302,0,3290,0,3667,0,3175,0,3775,0,3677,0,2114,0
13:00,3704,0,4091,0,3969,0,5307,0,4637,0,4985,0,2631,0
14:00,3997,0,3867,0,3632,0,4615,0,4569,0,5744,0,3082,0
15:00,3755,0,4048,0,3951,0,4282,0,6023,0,6089,0,2788,0
16:00,3003,0,4239,0,3537,0,5580,0,5688,0,6983,0,2306,0
17:00,3533,0,5433,0,3632,0,4763,0,4939,0,6949,0,3339,0
18:00,3123,0,5194,0,3074,0,3467,0,4499,0,5723,0,4137,0
19:00,1481,0,1881,0,2138,0,2343,0,2344,0,2592,0,2407,0
20:00,1310,0,1296,0,1677,0,2306,0,1989,0,1715,0,1603,0
21:00,1115,0,1076,0,1272,0,1482,0,1598,0,1426,0,1364,0
22:00,1204,0,1162,0,1280,0,1393,0,1688,0,1872,0,1594,0
23:00,967,0,828,0,930,0,1162,0,1509,0,1891,0,1080,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,2270,0,563,0,586,0,641,0,1014,0,2433,0,3254,0
01:00,815,0,314,0,393,0,297,0,521,0,1859,0,2227,0
02:00,595,0,157,0,131,0,150,0,452,0,1115,0,2156,0
03:00,823,0,112,0,146,0,240,0,260,0,1639,0,2500,0
04:00,725,0,165,0,163,0,173,0,200,0,622,0,1198,0
05:00,166,0,241,0,195,0,250,0,222,0,249,0,131,0
06:00,140,0,602,0,567,0,622,0,703,0,365,0,215,0
07:00,370,0,1217,0,1333,0,1273,0,1195,0,604,0,241,0
08:00,472,0,2030,0,2825,0,2833,0,1743,0,786,0,360,0
09:00,800,0,2422,0,2527,0,2684,0,1954,0,1567,0,601,0
10:00,1685,0,2739,0,2480,0,2501,0,2945,0,3295,0,1379,0
11:00,3173,0,3685,0,3225,0,3949,0,4332,0,5754,0,2581,0
12:00,4719,0,5168,0,4897,0,5900,0,6535,0,9217,0,4682,0
13:00,9546,0,9172,0,5757,0,8601,0,10439,0,10002,0,6080,0
14:00,10261,0,7785,0,5120,0,7259,0,9832,0,10854,0,6953,0
15:00,7853,0,6219,0,4968,0,6180,0,7694,0,11254,0,7914,0
16:00,8750,0,5474,0,5253,0,6918,0,6660,0,8922,0,7852,0
17:00,10611,0,7369,0,6721,0,8739,0,8840,0,8227,0,5528,0
18:00,5296,0,4894,0,4774,0,8456,0,6111,0,4711,0,3909,0
19:00,2325,0,2387,0,2501,0,5426,0,3128,0,3019,0,2022,0
20:00,1612,0,1474,0,1548,0,3458,0,2457,0,2018,0,1326,0
21:00,1148,0,1149,0,1226,0,1890,0,2009,0,1626,0,1221,0
22:00,1352,0,1543,0,1281,0,2076,0,2780,0,2825,0,1609,0
23:00,1052,0,1194,0,1247,0,1658,0,2829,0,3330,0,1162,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,346,0,283,0,271,0,795,0,531,0,753,0,1059,0
01:00,233,0,95,0,104,0,300,0,216,0,543,0,962,0
02:00,236,0,126,0,114,0,176,0,155,0,646,0,960,0
03:00,92,0,135,0,146,0,247,0,202,0,981,0,1155,0
04:00,127,0,88,0,93,0,184,0,145,0,289,0,957,0
05:00,276,0,324,0,218,0,334,0,248,0,152,0,331,0
06:00,812,0,915,0,692,0,839,0,706,0,340,0,211,0
07:00,1505,0,1687,0,1364,0,1797,0,1704,0,454,0,257,0
08:00,2839,0,3555,0,2979,0,3464,0,3377,0,754,0,353,0
09:00,2571,0,2472,0,2575,0,2949,0,2920,0,1545,0,581,0
10:00,3174,0,3039,0,2522,0,3051,0,3185,0,3685,0,1150,0
11:00,4578,0,3875,0,3344,0,3643,0,4550,0,7365,0,2467,0
12:00,5729,0,7453,0,5117,0,7771,0,8132,0,9655,0,3900,0
13:00,10792,0,12983,0,7542,0,12906,0,11532,0,11690,0,4535,0
14:00,7755,0,8799,0,5311,0,7354,0,7723,0,12280,0,4367,0
15:00,5570,0,4809,0,4793,0,4254,0,6614,0,10558,0,4871,0
16:00,3229,0,3410,0,5135,0,3721,0,6644,0,8362,0,4364,0
17:00,8416,0,3506,0,7244,0,3679,0,9339,0,8191,0,4162,0
18:00,5767,0,4433,0,5575,0,6435,0,6972,0,6375,0,3127,0
19:00,2712,0,2953,0,2629,0,5081,0,3042,0,3317,0,1706,0
