"Hourly By Entrance - Week 37, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,339,0,352,0,243,0,431,0,543,0,861,0,888,0
01:00,163,0,107,0,99,0,164,0,268,0,484,0,646,0
02:00,139,0,240,0,97,0,169,0,241,0,349,0,616,0
03:00,157,0,176,0,175,0,183,0,202,0,453,0,848,0
04:00,119,0,130,0,64,0,87,0,100,0,151,0,212,0
05:00,161,0,170,0,155,0,128,0,205,0,80,0,67,0
06:00,455,0,603,0,413,0,413,0,458,0,200,0,139,0
07:00,1240,0,1421,0,1086,0,1040,0,1021,0,398,0,185,0
08:00,2167,0,2992,0,2179,0,2235,0,2106,0,679,0,319,0
09:00,1740,0,2453,0,1939,0,1828,0,2151,0,1015,0,740,0
10:00,2146,0,2676,0,2162,0,2153,0,2620,0,1806,0,1530,0
11:00,2456,0,2520,0,2592,0,2469,0,2804,0,2641,0,2061,0
12:00,3651,0,3081,0,3992,0,3123,0,3170,0,3686,0,2597,0
13:00,4502,0,4993,0,4462,0,3723,0,4509,0,3932,0,2820,0
14:00,3473,0,3954,0,3699,0,3939,0,5830,0,5167,0,3066,0
15:00,3599,0,4782,0,3655,0,3822,0,4530,0,6960,0,3153,0
16:00,3466,0,3729,0,4018,0,4625,0,4771,0,5505,0,3258,0
17:00,3926,0,3395,0,4218,0,4562,0,4500,0,3100,0,3429,0
18:00,3232,0,2756,0,3088,0,3263,0,3253,0,3094,0,2946,0
19:00,1818,0,2009,0,2173,0,2329,0,2256,0,2539,0,2147,0
20:00,1697,0,1439,0,2145,0,2242,0,2248,0,2484,0,1925,0
21:00,1290,0,1125,0,1421,0,1651,0,2087,0,1961,0,1268,0
22:00,1246,0,1104,0,1613,0,1424,0,1750,0,2337,0,1185,0
23:00,824,0,689,0,877,0,973,0,1450,0,1656,0,776,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,468,0,719,0,963,0,878,0,1224,0,2155,0,2482,0
01:00,562,0,243,0,342,0,503,0,584,0,1343,0,1868,0
02:00,201,0,194,0,818,0,380,0,510,0,1162,0,1874,0
