"Hourly By Entrance - Week 2, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,222,0,212,0,167,0,351,0,368,0,814,0,817,0
01:00,129,0,79,0,78,0,109,0,198,0,409,0,481,0
02:00,73,0,78,0,104,0,106,0,173,0,345,0,575,0
03:00,58,0,116,0,86,0,107,0,145,0,298,0,682,0
04:00,28,0,71,0,60,0,67,0,68,0,114,0,224,0
05:00,136,0,176,0,135,0,166,0,129,0,81,0,88,0
06:00,686,0,736,0,714,0,809,0,628,0,238,0,147,0
07:00,1591,0,1526,0,1452,0,1796,0,1455,0,516,0,217,0
08:00,2817,0,2718,0,1648,0,2401,0,2276,0,761,0,368,0
09:00,2605,0,2257,0,1886,0,2243,0,2021,0,1106,0,542,0
10:00,2237,0,1694,0,2176,0,2684,0,2475,0,1934,0,962,0
11:00,3709,0,1992,0,2444,0,3068,0,3238,0,2758,0,1516,0
12:00,5611,0,3220,0,7146,0,6826,0,6594,0,3326,0,1956,0
13:00,7043,0,4116,0,7091,0,4211,0,13297,0,3504,0,2247,0
14:00,2772,0,2871,0,2539,0,3510,0,3923,0,3857,0,2185,0
15:00,2616,0,3596,0,2980,0,3030,0,2988,0,4348,0,2422,0
16:00,2862,0,2776,0,3536,0,3194,0,3188,0,3658,0,2505,0
17:00,3477,0,3424,0,4114,0,4690,0,4685,0,3739,0,3235,0
18:00,2825,0,2557,0,3209,0,3908,0,3529,0,3021,0,2548,0
19:00,1682,0,1349,0,1662,0,2437,0,2263,0,2211,0,1778,0
20:00,1160,0,1150,0,1396,0,2128,0,1881,0,2087,0,1911,0
21:00,687,0,877,0,986,0,1301,0,1388,0,1643,0,1229,0
22:00,757,0,627,0,1043,0,1090,0,1363,0,1935,0,1144,0
23:00,473,0,474,0,623,0,734,0,1010,0,1327,0,768,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
