"Hourly By Entrance - Week 3, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,273,0,274,0,241,0,272,0,371,0,705,0,773,0
01:00,200,0,98,0,91,0,130,0,221,0,483,0,585,0
02:00,106,0,179,0,84,0,154,0,224,0,393,0,537,0
03:00,110,0,172,0,65,0,119,0,180,0,380,0,691,0
04:00,55,0,102,0,50,0,103,0,102,0,182,0,243,0
05:00,148,0,115,0,133,0,193,0,189,0,83,0,124,0
06:00,713,0,608,0,681,0,795,0,803,0,318,0,149,0
07:00,1456,0,1417,0,1339,0,1613,0,1865,0,649,0,241,0
08:00,2941,0,2421,0,2241,0,2761,0,2898,0,842,0,268,0
09:00,2278,0,1805,0,1865,0,2511,0,2438,0,1181,0,523,0
10:00,1995,0,1824,0,1530,0,2215,0,2193,0,2306,0,1118,0
11:00,2453,0,2250,0,2049,0,2590,0,2506,0,2497,0,1542,0
12:00,3339,0,2858,0,3213,0,5316,0,3211,0,3075,0,2401,0
13:00,4865,0,4086,0,3970,0,6266,0,3724,0,3412,0,2189,0
14:00,2729,0,3719,0,3369,0,2961,0,3755,0,4954,0,2308,0
15:00,2841,0,3821,0,3340,0,3747,0,4532,0,4976,0,2604,0
16:00,3357,0,3846,0,3463,0,3656,0,4154,0,4814,0,2572,0
17:00,4124,0,3834,0,4124,0,4042,0,4783,0,3503,0,2410,0
18:00,2945,0,2990,0,3533,0,3297,0,3874,0,2579,0,2487,0
19:00,1875,0,2029,0,2049,0,2422,0,2337,0,2035,0,2001,0
20:00,1424,0,1460,0,1805,0,1960,0,2014,0,1740,0,1774,0
21:00,912,0,976,0,1201,0,1610,0,1816,0,1549,0,1296,0
22:00,970,0,882,0,1091,0,998,0,1717,0,2017,0,1143,0
23:00,693,0,581,0,654,0,677,0,1206,0,1556,0,749,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,373,0,593,0,437,0,565,0,718,0,1493,0,1966,0
01:00,264,0,215,0,229,0,324,0,326,0,997,0,1411,0
02:00,193,0,214,0,181,0,217,0,319,0,1218,0,1902,0
03:00,122,0,330,0,190,0,293,0,308,0,1732,0,3116,0
04:00,115,0,201,0,217,0,209,0,165,0,494,0,891,0
05:00,298,0,262,0,426,0,387,0,481,0,267,0,133,0
06:00,1015,0,918,0,826,0,971,0,859,0,369,0,294,0
07:00,2003,0,2179,0,1422,0,2042,0,1853,0,911,0,268,0
08:00,4479,0,4160,0,3387,0,5265,0,3083,0,1132,0,279,0
09:00,3105,0,3111,0,2479,0,2903,0,2625,0,1519,0,533,0
10:00,2733,0,2701,0,2119,0,2440,0,2349,0,3248,0,1163,0
11:00,3185,0,3038,0,3384,0,3141,0,3802,0,6623,0,2848,0
12:00,5151,0,5632,0,5850,0,5246,0,6357,0,9472,0,4881,0
13:00,9646,0,8965,0,8325,0,8860,0,9106,0,10410,0,6427,0
14:00,6190,0,6420,0,7104,0,6326,0,8268,0,11863,0,7929,0
15:00,5878,0,5570,0,6239,0,6318,0,7926,0,12059,0,9093,0
16:00,7421,0,7674,0,8114,0,7629,0,8499,0,12200,0,10240,0
17:00,11157,0,11646,0,12085,0,11460,0,12602,0,11117,0,9245,0
18:00,7965,0,8876,0,9781,0,10124,0,9737,0,8137,0,5014,0
19:00,3207,0,4252,0,4557,0,6357,0,5707,0,4213,0,2321,0
20:00,1718,0,2261,0,2563,0,4134,0,3514,0,2768,0,1386,0
21:00,1456,0,1469,0,1690,0,2420,0,3279,0,2574,0,1140,0
22:00,1028,0,1475,0,1547,0,1471,0,3040,0,2706,0,869,0
23:00,1329,0,849,0,1082,0,1185,0,2362,0,2384,0,701,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,348,0,323,0,306,0,471,0,592,0,1188,0,1543,0
01:00,258,0,204,0,300,0,305,0,348,0,1012,0,1256,0
02:00,229,0,242,0,690,0,178,0,259,0,924,0,1409,0
03:00,165,0,319,0,253,0,274,0,352,0,1346,0,2235,0
04:00,114,0,247,0,263,0,197,0,185,0,496,0,903,0
05:00,218,0,292,0,266,0,350,0,386,0,221,0,130,0
06:00,723,0,409,0,840,0,787,0,828,0,384,0,222,0
07:00,1395,0,1604,0,1509,0,1376,0,1437,0,681,0,236,0
08:00,3704,0,3755,0,3683,0,4142,0,3527,0,1222,0,385,0
09:00,2798,0,3371,0,3180,0,2990,0,2469,0,1694,0,743,0
10:00,2664,0,2598,0,2353,0,2472,0,2229,0,2683,0,998,0
11:00,3437,0,3090,0,3641,0,2879,0,3404,0,5169,0,2368,0
12:00,4787,0,5137,0,4645,0,6710,0,5545,0,7794,0,4623,0
13:00,9511,0,7273,0,6961,0,9357,0,7851,0,10064,0,5143,0
14:00,5520,0,5198,0,5432,0,5553,0,6486,0,10215,0,6110,0
15:00,6045,0,4975,0,4770,0,6195,0,7197,0,10760,0,7032,0
16:00,4526,0,5530,0,5874,0,6432,0,6987,0,10175,0,6852,0
17:00,4949,0,7039,0,7261,0,9487,0,8839,0,6759,0,4500,0
18:00,4266,0,5367,0,5562,0,8440,0,6463,0,4631,0,2872,0
19:00,2175,0,2638,0,2649,0,4182,0,3535,0,2919,0,1666,0
20:00,1579,0,1590,0,1857,0,2984,0,2495,0,2185,0,1245,0
21:00,1152,0,1322,0,1302,0,1854,0,2320,0,1893,0,837,0
22:00,766,0,875,0,1202,0,1359,0,2247,0,1922,0,677,0
23:00,547,0,756,0,997,0,1014,0,1866,0,1870,0,602,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,256,0,189,0,161,0,228,0,209,0,245,0,378,0
01:00,194,0,230,0,190,0,249,0,246,0,279,0,419,0
02:00,157,0,166,0,131,0,155,0,167,0,226,0,334,0
03:00,93,0,134,0,100,0,101,0,133,0,440,0,757,0
04:00,44,0,32,0,31,0,51,0,42,0,130,0,321,0
05:00,67,0,63,0,179,0,71,0,55,0,41,0,84,0
06:00,287,0,356,0,373,0,315,0,264,0,152,0,85,0
07:00,744,0,822,0,781,0,758,0,779,0,274,0,104,0
08:00,1897,0,1627,0,1597,0,1906,0,1440,0,574,0,140,0
09:00,1784,0,1459,0,1560,0,1960,0,1593,0,1305,0,337,0
10:00,1886,0,1702,0,2398,0,2250,0,1911,0,2601,0,831,0
11:00,3380,0,2395,0,3271,0,2987,0,2848,0,4007,0,1526,0
12:00,4467,0,4307,0,4524,0,3602,0,4339,0,4902,0,2657,0
13:00,5595,0,5586,0,6291,0,4915,0,5671,0,6438,0,3227,0
14:00,4405,0,4892,0,5093,0,4892,0,5476,0,7701,0,3923,0
15:00,4775,0,5010,0,5217,0,4788,0,5623,0,7814,0,4790,0
16:00,5538,0,5884,0,5398,0,5624,0,5877,0,7187,0,5028,0
17:00,6508,0,4740,0,6424,0,6419,0,6480,0,6646,0,4533,0
