"Hourly By Entrance - Week 7, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,240,0,276,0,265,0,451,0,626,0,829,0,760,0
01:00,169,0,103,0,109,0,167,0,286,0,599,0,409,0
02:00,72,0,86,0,122,0,113,0,284,0,512,0,500,0
03:00,83,0,153,0,60,0,121,0,324,0,333,0,584,0
04:00,29,0,60,0,36,0,41,0,130,0,122,0,153,0
05:00,110,0,144,0,118,0,126,0,146,0,127,0,69,0
06:00,637,0,691,0,731,0,678,0,705,0,279,0,83,0
07:00,1788,0,1447,0,1472,0,1488,0,1229,0,477,0,115,0
08:00,3227,0,3063,0,3065,0,2426,0,2271,0,786,0,176,0
09:00,3364,0,2509,0,2810,0,2196,0,2049,0,1191,0,843,0
10:00,3112,0,2278,0,2578,0,2593,0,2346,0,2180,0,1592,0
11:00,3564,0,3214,0,3709,0,2608,0,2744,0,3830,0,2245,0
12:00,6836,0,6426,0,6163,0,3605,0,3807,0,6104,0,3512,0
13:00,11111,0,10251,0,9656,0,4492,0,4719,0,7938,0,4584,0
14:00,6491,0,6674,0,6176,0,3818,0,4144,0,7444,0,4241,0
15:00,3121,0,2963,0,3181,0,4099,0,4136,0,3517,0,2311,0
16:00,3297,0,3287,0,3345,0,4305,0,4137,0,3515,0,2404,0
17:00,4184,0,3932,0,4263,0,4951,0,4648,0,3554,0,2841,0
18:00,3789,0,3794,0,4013,0,4208,0,4191,0,3441,0,2626,0
19:00,2204,0,2241,0,2367,0,2842,0,2555,0,2744,0,1958,0
20:00,1669,0,1849,0,2088,0,3073,0,2451,0,2205,0,2022,0
21:00,1253,0,1164,0,1418,0,1704,0,1685,0,1814,0,1304,0
22:00,1159,0,1143,0,1465,0,1736,0,1752,0,2033,0,1270,0
23:00,741,0,837,0,797,0,1041,0,1543,0,1282,0,653,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
