"Hourly By Entrance - Week 44, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,500,0,303,0,313,0,457,0,555,0,1028,0,877,0
01:00,356,0,100,0,152,0,242,0,302,0,572,0,426,0
02:00,376,0,112,0,119,0,212,0,207,0,713,0,396,0
03:00,662,0,204,0,134,0,147,0,311,0,959,0,391,0
04:00,152,0,53,0,74,0,64,0,105,0,244,0,135,0
05:00,58,0,121,0,136,0,150,0,167,0,133,0,77,0
06:00,166,0,476,0,587,0,637,0,614,0,333,0,164,0
07:00,430,0,1179,0,1114,0,1072,0,1094,0,538,0,180,0
08:00,623,0,2409,0,2500,0,1597,0,2145,0,781,0,376,0
09:00,804,0,2076,0,2077,0,2366,0,1934,0,1348,0,892,0
10:00,1638,0,2538,0,2025,0,2412,0,2849,0,2570,0,1628,0
11:00,2163,0,3264,0,2538,0,2609,0,4486,0,2922,0,2379,0
12:00,2496,0,4358,0,4270,0,5381,0,9833,0,4124,0,3065,0
13:00,4210,0,7073,0,6168,0,7976,0,11961,0,4232,0,4667,0
14:00,2839,0,3906,0,7322,0,4028,0,4476,0,3701,0,2151,0
15:00,2584,0,3482,0,4133,0,3577,0,4377,0,3363,0,2465,0
16:00,2312,0,3445,0,3688,0,4214,0,4748,0,3639,0,2460,0
17:00,2642,0,4084,0,4350,0,5798,0,5234,0,4009,0,3057,0
18:00,2474,0,3505,0,3983,0,4618,0,4016,0,3334,0,2447,0
19:00,2015,0,2143,0,2732,0,3347,0,2830,0,2553,0,1980,0
20:00,1787,0,1706,0,1994,0,2187,0,2813,0,2314,0,1896,0
21:00,1258,0,1348,0,1579,0,1644,0,2377,0,1701,0,1529,0
22:00,1161,0,1121,0,2816,0,1538,0,2092,0,2072,0,1297,0
23:00,830,0,768,0,1143,0,910,0,1980,0,1396,0,715,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1037,0,320,0,510,0,749,0,1084,0,2340,0,1663,0
01:00,634,0,97,0,165,0,254,0,322,0,1421,0,1104,0
02:00,715,0,79,0,144,0,333,0,463,0,1251,0,933,0
03:00,1516,0,189,0,198,0,351,0,436,0,2348,0,1764,0
04:00,514,0,97,0,157,0,105,0,193,0,751,0,394,0
05:00,114,0,277,0,336,0,307,0,364,0,170,0,180,0
06:00,233,0,617,0,557,0,564,0,655,0,258,0,241,0
07:00,520,0,1289,0,1377,0,1756,0,1427,0,601,0,269,0
08:00,795,0,3279,0,2874,0,3682,0,3091,0,657,0,263,0
09:00,1779,0,2668,0,2898,0,3232,0,2860,0,1251,0,578,0
10:00,2740,0,3414,0,2951,0,2850,0,2849,0,2239,0,1189,0
11:00,4180,0,4418,0,4368,0,4298,0,5240,0,5094,0,2399,0
12:00,5920,0,7315,0,6268,0,7345,0,8286,0,7805,0,5144,0
13:00,9236,0,10537,0,8416,0,10110,0,10652,0,9433,0,7810,0
14:00,10428,0,8258,0,7451,0,8810,0,8888,0,9541,0,6623,0
15:00,10715,0,8346,0,7665,0,9189,0,10011,0,10442,0,8714,0
16:00,9304,0,8512,0,8960,0,9588,0,10405,0,10942,0,8682,0
17:00,8432,0,11386,0,11854,0,13140,0,12577,0,11479,0,9012,0
18:00,5129,0,8191,0,9722,0,11750,0,9669,0,7500,0,4683,0
19:00,2850,0,4086,0,5116,0,9189,0,5151,0,3909,0,2392,0
20:00,1783,0,2303,0,3508,0,5406,0,3472,0,2709,0,1656,0
21:00,1170,0,1805,0,2111,0,2851,0,3155,0,2393,0,1064,0
22:00,940,0,1239,0,1628,0,1693,0,3163,0,2102,0,902,0
23:00,710,0,959,0,1301,0,1223,0,2654,0,2176,0,713,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1128,0,270,0,628,0,909,0,709,0,775,0,1444,0
01:00,790,0,167,0,232,0,443,0,283,0,557,0,1308,0
02:00,1221,0,198,0,199,0,340,0,203,0,662,0,1303,0
03:00,1475,0,90,0,216,0,577,0,265,0,1010,0,1568,0
04:00,515,0,136,0,195,0,247,0,185,0,293,0,1314,0
05:00,285,0,248,0,326,0,413,0,324,0,152,0,451,0
06:00,158,0,659,0,908,0,943,0,949,0,345,0,284,0
07:00,586,0,1281,0,1984,0,1797,0,2308,0,461,0,344,0
08:00,810,0,2518,0,3779,0,4605,0,4586,0,769,0,478,0
09:00,1935,0,2326,0,3233,0,3506,0,3958,0,1589,0,785,0
10:00,2440,0,3074,0,3512,0,3637,0,4314,0,3813,0,1562,0
11:00,4215,0,5135,0,4819,0,4942,0,6159,0,7638,0,3358,0
12:00,7354,0,7556,0,8063,0,8221,0,11034,0,9995,0,5324,0
13:00,6870,0,11884,0,13756,0,12798,0,15649,0,12086,0,6207,0
14:00,6200,0,9787,0,9705,0,8868,0,10456,0,12706,0,5986,0
15:00,8040,0,9699,0,7313,0,8388,0,8954,0,10944,0,6681,0
16:00,7255,0,9529,0,7595,0,10013,0,9020,0,8683,0,5989,0
17:00,5800,0,9941,0,11618,0,14571,0,12692,0,8480,0,5719,0
18:00,3691,0,6174,0,8608,0,13078,0,9474,0,6602,0,4283,0
19:00,2328,0,3012,0,4228,0,7556,0,4127,0,3428,0,2342,0
20:00,1549,0,1913,0,2876,0,4980,0,2574,0,2647,0,1326,0
21:00,1158,0,1574,0,2294,0,3245,0,2004,0,2074,0,911,0
22:00,1121,0,1269,0,1750,0,2324,0,1425,0,1760,0,696,0
23:00,729,0,1040,0,1592,0,1926,0,1090,0,1501,0,578,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,481,0,324,0,227,0,248,0,371,0,1158,0,816,0
01:00,407,0,119,0,80,0,154,0,288,0,431,0,504,0
02:00,609,0,112,0,140,0,179,0,258,0,637,0,671,0
03:00,1054,0,167,0,141,0,320,0,314,0,1228,0,769,0
04:00,223,0,40,0,61,0,185,0,87,0,220,0,214,0
05:00,151,0,96,0,109,0,234,0,113,0,92,0,145,0
06:00,203,0,297,0,306,0,492,0,318,0,202,0,148,0
07:00,245,0,646,0,831,0,752,0,575,0,303,0,108,0
08:00,446,0,1484,0,2136,0,1981,0,1440,0,802,0,168,0
09:00,2491,0,4075,0,2323,0,3021,0,2467,0,1540,0,804,0
10:00,4252,0,3758,0,3378,0,3938,0,5677,0,3979,0,2323,0
11:00,4252,0,6206,0,5111,0,5696,0,6044,0,4290,0,2986,0
12:00,3480,0,7204,0,6734,0,7858,0,5923,0,5398,0,2691,0
13:00,4265,0,7527,0,8375,0,8920,0,8218,0,6889,0,3820,0
14:00,5564,0,7479,0,7610,0,8216,0,8474,0,7714,0,4707,0
15:00,6624,0,7822,0,8040,0,8377,0,8782,0,8600,0,5818,0
16:00,5746,0,7782,0,8666,0,8888,0,9508,0,8846,0,5506,0
17:00,5958,0,9963,0,9236,0,10934,0,10466,0,8776,0,6684,0
18:00,4495,0,7346,0,6527,0,7755,0,8115,0,6400,0,5241,0
19:00,2905,0,3168,0,2787,0,5548,0,4770,0,3929,0,2952,0
20:00,1867,0,2243,0,1834,0,3113,0,3804,0,2406,0,2111,0
21:00,1316,0,1505,0,1357,0,1820,0,3227,0,2160,0,1465,0
22:00,1264,0,1201,0,1151,0,1320,0,2802,0,1539,0,1219,0
23:00,669,0,700,0,817,0,892,0,2025,0,1473,0,602,0
,,,,,,,,,,,,,,
Entrance Name: Henry Street at Butlers,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,174,0,65,0,95,0,177,0,182,0,246,0,235,0
01:00,90,0,50,0,53,0,76,0,95,0,167,0,189,0
02:00,105,0,69,0,120,0,118,0,124,0,152,0,158,0
03:00,143,0,82,0,110,0,88,0,109,0,169,0,238,0
04:00,74,0,105,0,135,0,161,0,149,0,70,0,79,0
05:00,80,0,172,0,334,0,343,0,333,0,130,0,36,0
06:00,135,0,410,0,522,0,562,0,497,0,248,0,118,0
07:00,193,0,745,0,1003,0,968,0,909,0,390,0,127,0
08:00,221,0,761,0,1314,0,1651,0,1483,0,834,0,161,0
09:00,1277,0,1678,0,2494,0,2838,0,2379,0,1818,0,404,0
10:00,2062,0,3384,0,5148,0,4564,0,4277,0,4434,0,1916,0
11:00,3503,0,5194,0,5510,0,5425,0,5046,0,5471,0,2598,0
12:00,4318,0,7117,0,6900,0,6495,0,6437,0,7482,0,3869,0
13:00,5631,0,8677,0,8594,0,7966,0,8328,0,9271,0,5534,0
14:00,6351,0,8525,0,6990,0,6384,0,7162,0,8923,0,6309,0
15:00,7191,0,8711,0,6604,0,6969,0,7786,0,8819,0,6595,0
16:00,5698,0,8170,0,6908,0,7312,0,8230,0,8288,0,6007,0
17:00,5161,0,6739,0,6431,0,8159,0,7766,0,7592,0,4841,0
18:00,2661,0,3907,0,5104,0,7264,0,5195,0,4783,0,3283,0
19:00,1051,0,1584,0,2516,0,4392,0,2389,0,1971,0,1551,0
20:00,684,0,937,0,1328,0,3047,0,1155,0,911,0,773,0
21:00,393,0,651,0,739,0,1488,0,792,0,792,0,522,0
22:00,249,0,332,0,547,0,554,0,523,0,536,0,457,0
23:00,110,0,234,0,306,0,320,0,453,0,381,0,301,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Korkys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,644,0,274,0,534,0,647,0,773,0,1151,0,1147,0
01:00,434,0,143,0,165,0,211,0,357,0,773,0,800,0
02:00,557,0,74,0,95,0,225,0,287,0,642,0,715,0
03:00,800,0,49,0,123,0,256,0,273,0,1175,0,1100,0
04:00,323,0,106,0,299,0,185,0,206,0,372,0,504,0
05:00,131,0,213,0,285,0,292,0,273,0,135,0,113,0
06:00,164,0,414,0,568,0,500,0,483,0,378,0,121,0
07:00,382,0,1136,0,1207,0,1041,0,1068,0,521,0,191,0
08:00,603,0,2508,0,2815,0,2788,0,2364,0,768,0,272,0
09:00,1173,0,2731,0,2960,0,2732,0,2595,0,1212,0,507,0
10:00,2283,0,3244,0,2986,0,2530,0,3112,0,2673,0,1275,0
11:00,5098,0,4852,0,4747,0,3484,0,4506,0,5480,0,2788,0
12:00,4340,0,6847,0,8241,0,6785,0,8407,0,7991,0,5006,0
13:00,4961,0,10147,0,13150,0,11874,0,12812,0,9671,0,6633,0
14:00,8193,0,9628,0,9683,0,8287,0,9419,0,11130,0,7779,0
15:00,9319,0,9303,0,8721,0,7085,0,8892,0,11334,0,7497,0
16:00,8919,0,9381,0,9435,0,9040,0,10435,0,11174,0,7215,0
17:00,6419,0,10592,0,13089,0,11984,0,10785,0,9708,0,6187,0
