"Hourly By Entrance - Week 1, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,0,0,1429,0,439,0,313,0,344,0,391,0,413,0
01:00,0,0,1044,0,155,0,157,0,253,0,223,0,294,0
02:00,0,0,1272,0,93,0,134,0,173,0,261,0,287,0
03:00,0,0,1364,0,113,0,140,0,124,0,290,0,319,0
04:00,0,0,460,0,49,0,69,0,54,0,64,0,116,0
05:00,0,0,191,0,114,0,132,0,107,0,98,0,44,0
06:00,0,0,163,0,402,0,530,0,453,0,236,0,112,0
07:00,0,0,248,0,1096,0,1127,0,1040,0,393,0,177,0
08:00,0,0,186,0,1785,0,1883,0,1711,0,456,0,191,0
09:00,0,0,400,0,1424,0,1633,0,1620,0,635,0,273,0
10:00,0,0,773,0,1989,0,2070,0,2202,0,1242,0,589,0
11:00,0,0,1133,0,2640,0,3145,0,4580,0,3684,0,1065,0
12:00,0,0,1541,0,3695,0,6339,0,7466,0,5832,0,1639,0
13:00,0,0,1713,0,4420,0,9289,0,7153,0,5788,0,2178,0
14:00,0,0,1631,0,4782,0,3683,0,4073,0,2510,0,1990,0
15:00,0,0,1908,0,4322,0,4631,0,3307,0,2984,0,2219,0
16:00,0,0,2191,0,4392,0,4141,0,3420,0,3083,0,2147,0
17:00,0,0,2252,0,4401,0,4486,0,4392,0,3510,0,2359,0
18:00,0,0,1678,0,3333,0,3442,0,2832,0,2541,0,1875,0
19:00,0,0,1430,0,2013,0,2159,0,2001,0,1858,0,1480,0
20:00,0,0,1452,0,1689,0,1790,0,1802,0,1563,0,1356,0
21:00,0,0,1044,0,965,0,1263,0,1068,0,1076,0,955,0
22:00,0,0,955,0,1041,0,1164,0,1213,0,1359,0,869,0
23:00,0,0,608,0,696,0,731,0,804,0,797,0,467,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,0,0,2150,0,447,0,461,0,472,0,947,0,1173,0
01:00,0,0,1984,0,188,0,255,0,155,0,670,0,894,0
02:00,0,0,2428,0,101,0,126,0,275,0,431,0,874,0
03:00,0,0,2152,0,100,0,221,0,194,0,542,0,1531,0
04:00,0,0,855,0,148,0,128,0,176,0,211,0,462,0
05:00,0,0,209,0,269,0,264,0,254,0,248,0,85,0
06:00,0,0,148,0,559,0,640,0,632,0,410,0,210,0
07:00,0,0,211,0,1428,0,1659,0,1036,0,641,0,254,0
08:00,0,0,188,0,2585,0,3477,0,3653,0,919,0,281,0
09:00,0,0,422,0,1492,0,2125,0,2465,0,1185,0,375,0
10:00,0,0,981,0,2572,0,2546,0,2919,0,2309,0,795,0
11:00,0,0,2080,0,4136,0,3779,0,3527,0,3965,0,1979,0
12:00,0,0,3298,0,8127,0,7098,0,6656,0,6288,0,3573,0
13:00,0,0,4185,0,11314,0,10412,0,8553,0,8579,0,5388,0
14:00,0,0,5221,0,10799,0,8863,0,6907,0,10322,0,6729,0
15:00,0,0,5719,0,11308,0,8932,0,7641,0,11184,0,8890,0
16:00,0,0,6527,0,12464,0,11495,0,10110,0,12150,0,10286,0
17:00,0,0,5952,0,12537,0,12810,0,12281,0,11688,0,7779,0
18:00,0,0,4039,0,8802,0,11066,0,9243,0,7341,0,3800,0
19:00,0,0,2039,0,3676,0,7089,0,4522,0,3354,0,1589,0
20:00,0,0,1674,0,1899,0,3770,0,2617,0,2094,0,1237,0
21:00,0,0,1215,0,1223,0,1611,0,1784,0,1829,0,870,0
22:00,0,0,1220,0,1195,0,1182,0,1810,0,1739,0,704,0
23:00,0,0,623,0,724,0,822,0,1409,0,1515,0,464,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,0,0,1515,0,354,0,350,0,446,0,812,0,906,0
01:00,0,0,1521,0,168,0,164,0,206,0,572,0,696,0
02:00,0,0,1955,0,175,0,221,0,221,0,467,0,680,0
03:00,0,0,1678,0,110,0,133,0,179,0,526,0,1236,0
04:00,0,0,704,0,148,0,158,0,178,0,214,0,495,0
05:00,0,0,216,0,252,0,281,0,323,0,135,0,89,0
06:00,0,0,235,0,552,0,567,0,646,0,319,0,150,0
07:00,0,0,224,0,1067,0,1328,0,1214,0,527,0,247,0
08:00,0,0,188,0,2656,0,3019,0,2846,0,1008,0,393,0
09:00,0,0,377,0,2249,0,1731,0,2763,0,1361,0,491,0
10:00,0,0,928,0,2496,0,2682,0,2825,0,2134,0,892,0
11:00,0,0,1589,0,4280,0,3812,0,3703,0,3103,0,1755,0
12:00,0,0,2602,0,7750,0,7008,0,6030,0,5833,0,2832,0
13:00,0,0,3312,0,11261,0,9825,0,7290,0,8845,0,4061,0
14:00,0,0,3933,0,11152,0,7675,0,6061,0,5736,0,5478,0
15:00,0,0,3903,0,10516,0,8733,0,6693,0,9820,0,6384,0
16:00,0,0,4016,0,10461,0,8718,0,7278,0,10091,0,5534,0
17:00,0,0,3007,0,9940,0,9479,0,8630,0,6927,0,3200,0
18:00,0,0,2634,0,5548,0,6505,0,5735,0,3940,0,2001,0
19:00,0,0,1432,0,2363,0,3387,0,2958,0,2421,0,1116,0
20:00,0,0,1161,0,1421,0,2224,0,1858,0,1441,0,917,0
21:00,0,0,967,0,946,0,1360,0,1464,0,1394,0,576,0
22:00,0,0,963,0,899,0,868,0,1382,0,1446,0,535,0
23:00,0,0,564,0,597,0,690,0,1190,0,1291,0,360,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,0,0,1013,0,232,0,238,0,337,0,325,0,461,0
01:00,0,0,1075,0,260,0,259,0,384,0,364,0,560,0
02:00,0,0,1287,0,167,0,164,0,292,0,313,0,422,0
03:00,0,0,1544,0,106,0,105,0,136,0,220,0,585,0
04:00,0,0,405,0,68,0,37,0,39,0,51,0,116,0
05:00,0,0,87,0,75,0,76,0,74,0,46,0,52,0
06:00,0,0,97,0,257,0,289,0,251,0,104,0,85,0
07:00,0,0,178,0,712,0,630,0,586,0,280,0,123,0
08:00,0,0,155,0,1161,0,1075,0,1168,0,459,0,133,0
09:00,0,0,310,0,1292,0,1126,0,1340,0,733,0,211,0
10:00,0,0,515,0,2116,0,1948,0,1831,0,1920,0,630,0
11:00,0,0,915,0,3273,0,2738,0,2723,0,3345,0,1146,0
12:00,0,0,1312,0,5039,0,4551,0,4603,0,3383,0,1515,0
13:00,0,0,1372,0,6876,0,5970,0,5645,0,4457,0,2348,0
14:00,0,0,1829,0,6914,0,5191,0,5058,0,5496,0,3146,0
15:00,0,0,2038,0,7289,0,6065,0,6191,0,6274,0,3807,0
16:00,0,0,2203,0,7506,0,6947,0,6434,0,6732,0,3656,0
17:00,0,0,2128,0,6930,0,7820,0,7090,0,6493,0,3381,0
18:00,0,0,1719,0,5423,0,6455,0,6220,0,5338,0,2372,0
19:00,0,0,1608,0,3342,0,4718,0,4911,0,3129,0,1916,0
20:00,0,0,1385,0,2223,0,2713,0,3066,0,4870,0,1734,0
21:00,0,0,1065,0,1418,0,1236,0,1318,0,3923,0,1286,0
22:00,0,0,938,0,1118,0,867,0,961,0,2243,0,1042,0
23:00,0,0,713,0,716,0,574,0,627,0,1132,0,873,0
,,,,,,,,,,,,,,
Entrance Name: Henry Street at Butlers,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,0,0,467,0,136,0,107,0,124,0,151,0,179,0
01:00,0,0,349,0,48,0,39,0,64,0,100,0,115,0
02:00,0,0,261,0,66,0,102,0,31,0,74,0,138,0
03:00,0,0,286,0,157,0,51,0,126,0,135,0,122,0
04:00,0,0,152,0,69,0,109,0,79,0,48,0,45,0
05:00,0,0,76,0,275,0,207,0,185,0,130,0,39,0
06:00,0,0,81,0,407,0,427,0,401,0,265,0,185,0
07:00,0,0,115,0,594,0,820,0,825,0,280,0,97,0
08:00,0,0,151,0,1581,0,1295,0,1541,0,687,0,180,0
09:00,0,0,223,0,2013,0,1646,0,2101,0,1239,0,347,0
10:00,0,0,695,0,2688,0,2892,0,2691,0,2765,0,1062,0
11:00,0,0,1260,0,5081,0,4507,0,4052,0,4645,0,1912,0
12:00,0,0,2286,0,8013,0,6730,0,5410,0,6865,0,3279,0
13:00,0,0,2670,0,11364,0,9295,0,7023,0,7571,0,4921,0
14:00,0,0,3175,0,10846,0,8195,0,6368,0,9283,0,6484,0
15:00,0,0,3293,0,11159,0,8526,0,6415,0,10323,0,6856,0
16:00,0,0,2904,0,9940,0,8234,0,7033,0,9449,0,5301,0
17:00,0,0,2121,0,7788,0,7845,0,7464,0,8315,0,3934,0
18:00,0,0,1427,0,4873,0,5122,0,4842,0,4524,0,2142,0
19:00,0,0,877,0,2165,0,2789,0,2396,0,1928,0,838,0
20:00,0,0,661,0,965,0,1804,0,1138,0,1026,0,521,0
21:00,0,0,382,0,507,0,850,0,599,0,542,0,335,0
22:00,0,0,248,0,352,0,421,0,424,0,368,0,173,0
23:00,0,0,187,0,236,0,216,0,223,0,276,0,162,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Korkys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,0,0,1014,0,191,0,265,0,256,0,520,0,618,0
01:00,0,0,1132,0,79,0,104,0,111,0,325,0,436,0
02:00,0,0,1141,0,90,0,133,0,162,0,254,0,334,0
03:00,0,0,1402,0,94,0,141,0,128,0,342,0,710,0
04:00,0,0,514,0,81,0,122,0,155,0,184,0,206,0
05:00,0,0,130,0,130,0,195,0,160,0,166,0,36,0
06:00,0,0,123,0,379,0,361,0,407,0,272,0,93,0
07:00,0,0,187,0,875,0,998,0,857,0,331,0,214,0
08:00,0,0,127,0,2432,0,2678,0,2521,0,555,0,173,0
09:00,0,0,271,0,1835,0,1725,0,1570,0,774,0,272,0
10:00,0,0,618,0,1763,0,1578,0,1835,0,1709,0,512,0
11:00,0,0,1377,0,3080,0,2985,0,2567,0,4861,0,1355,0
12:00,0,0,2280,0,6820,0,6526,0,5820,0,6928,0,2332,0
13:00,0,0,3020,0,13418,0,11118,0,9847,0,4929,0,4239,0
14:00,0,0,4190,0,12432,0,9024,0,7226,0,9189,0,5836,0
15:00,0,0,5189,0,11632,0,8227,0,6270,0,11056,0,8383,0
16:00,0,0,4641,0,11440,0,10146,0,8625,0,12391,0,9105,0
17:00,0,0,2641,0,11884,0,11059,0,11093,0,10251,0,5505,0
18:00,0,0,2166,0,5664,0,8312,0,5999,0,4546,0,2749,0
19:00,0,0,1345,0,2088,0,4410,0,2396,0,2064,0,1034,0
20:00,0,0,749,0,906,0,2189,0,1348,0,1027,0,859,0
21:00,0,0,651,0,638,0,1071,0,1046,0,998,0,748,0
