"Hourly By Entrance - Week 27, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,964,0,390,0,408,0,425,0,544,0,537,0,855,0
01:00,315,0,138,0,188,0,195,0,267,0,521,0,670,0
02:00,154,0,101,0,124,0,125,0,180,0,355,0,480,0
03:00,121,0,141,0,96,0,136,0,169,0,321,0,440,0
04:00,118,0,53,0,27,0,44,0,88,0,124,0,137,0
05:00,111,0,99,0,79,0,121,0,197,0,68,0,77,0
06:00,514,0,477,0,493,0,479,0,532,0,299,0,137,0
07:00,1032,0,1102,0,1158,0,1292,0,1257,0,542,0,188,0
08:00,2014,0,2012,0,2143,0,3070,0,1959,0,886,0,323,0
09:00,1893,0,1773,0,1888,0,2684,0,1988,0,1400,0,792,0
10:00,2412,0,2757,0,2350,0,2347,0,2139,0,2537,0,1427,0
11:00,2936,0,2708,0,3214,0,3067,0,2240,0,2613,0,2145,0
12:00,3351,0,4038,0,3580,0,3459,0,3643,0,3472,0,2134,0
13:00,4939,0,4398,0,4003,0,3566,0,5699,0,4468,0,2755,0
14:00,4178,0,3785,0,4156,0,3271,0,5040,0,5492,0,3084,0
15:00,4038,0,3496,0,4140,0,3908,0,4066,0,4503,0,3792,0
16:00,3806,0,3418,0,4609,0,5028,0,4166,0,3866,0,3881,0
17:00,3789,0,4060,0,5137,0,5308,0,4477,0,4304,0,4827,0
18:00,3272,0,2897,0,3763,0,4305,0,3269,0,3455,0,5120,0
19:00,1917,0,1878,0,2378,0,2884,0,2298,0,2175,0,2119,0
20:00,1386,0,1504,0,1704,0,2344,0,1957,0,2055,0,1650,0
21:00,1002,0,1121,0,1240,0,1504,0,1520,0,1362,0,1314,0
22:00,1138,0,1168,0,1538,0,1510,0,2155,0,1543,0,1186,0
23:00,792,0,857,0,1079,0,1103,0,1084,0,1437,0,946,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,930,0,491,0,870,0,876,0,1099,0,1185,0,1566,0
01:00,485,0,204,0,280,0,463,0,523,0,1078,0,1236,0
02:00,195,0,164,0,137,0,187,0,378,0,906,0,1078,0
03:00,176,0,175,0,128,0,322,0,364,0,1104,0,1548,0
04:00,167,0,142,0,149,0,128,0,271,0,414,0,1357,0
05:00,208,0,239,0,260,0,214,0,232,0,205,0,201,0
06:00,529,0,544,0,593,0,584,0,600,0,490,0,220,0
07:00,1005,0,1333,0,1230,0,1403,0,1209,0,556,0,283,0
08:00,2349,0,2654,0,1015,0,3076,0,2559,0,916,0,323,0
09:00,2514,0,2331,0,2583,0,2528,0,1983,0,1383,0,737,0
10:00,2983,0,2190,0,2742,0,2091,0,3014,0,3055,0,1631,0
11:00,3858,0,3134,0,4057,0,4004,0,4932,0,5919,0,3025,0
12:00,6146,0,5467,0,6325,0,5680,0,6976,0,8946,0,5281,0
13:00,10212,0,8488,0,9342,0,7989,0,10824,0,9823,0,7140,0
14:00,8355,0,7456,0,8225,0,8018,0,10632,0,11620,0,8643,0
15:00,7686,0,7676,0,7678,0,7564,0,10162,0,12490,0,8739,0
16:00,7107,0,7775,0,8035,0,8004,0,9614,0,10646,0,8123,0
17:00,8808,0,8887,0,9104,0,9575,0,10467,0,8963,0,7223,0
18:00,5940,0,6694,0,6108,0,9785,0,7167,0,5512,0,4655,0
19:00,2834,0,3121,0,2993,0,7009,0,3600,0,2657,0,2383,0
20:00,1516,0,1763,0,2107,0,4133,0,2194,0,1341,0,1468,0
21:00,1247,0,1334,0,1385,0,2347,0,1704,0,1462,0,1073,0
22:00,1606,0,1780,0,1945,0,2697,0,2573,0,2182,0,1211,0
23:00,945,0,1327,0,1517,0,1645,0,2131,0,2006,0,1105,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,440,0,313,0,384,0,630,0,622,0,780,0,1554,0
01:00,246,0,126,0,147,0,381,0,252,0,562,0,1410,0
02:00,203,0,117,0,154,0,227,0,182,0,669,0,1406,0
03:00,68,0,157,0,196,0,238,0,237,0,1017,0,1689,0
04:00,153,0,80,0,112,0,224,0,168,0,298,0,1417,0
05:00,253,0,276,0,294,0,234,0,290,0,156,0,490,0
06:00,710,0,921,0,902,0,875,0,835,0,350,0,309,0
07:00,1538,0,1775,0,1808,0,1676,0,2018,0,468,0,376,0
08:00,2652,0,3258,0,3965,0,3383,0,4002,0,776,0,519,0
09:00,2416,0,3021,0,3423,0,2476,0,3456,0,1598,0,849,0
10:00,2704,0,3091,0,3387,0,3145,0,3766,0,3828,0,1683,0
11:00,4615,0,4030,0,4493,0,4534,0,5370,0,7663,0,3610,0
12:00,6783,0,6943,0,6578,0,6868,0,9612,0,10015,0,5713,0
13:00,10437,0,11228,0,9234,0,8207,0,13632,0,12111,0,6664,0
14:00,8125,0,8206,0,6842,0,7441,0,9107,0,12731,0,6428,0
15:00,7321,0,7718,0,6550,0,7714,0,7798,0,10967,0,7172,0
16:00,7871,0,8057,0,7218,0,9131,0,7857,0,8702,0,6432,0
17:00,8308,0,9849,0,10079,0,10525,0,11055,0,8499,0,6139,0
18:00,6551,0,7316,0,7446,0,9472,0,8256,0,6617,0,4598,0
19:00,2912,0,3076,0,3478,0,7013,0,3596,0,3437,0,2513,0
20:00,1908,0,1979,0,2315,0,4515,0,2243,0,2655,0,1422,0
21:00,1394,0,1540,0,1681,0,2550,0,1746,0,2081,0,979,0
22:00,1012,0,1108,0,1203,0,1374,0,1241,0,1766,0,750,0
23:00,499,0,717,0,1005,0,758,0,951,0,1507,0,622,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,13,0,5,0,7,0,2,0,8,0,2,0,22,0
01:00,8,0,3,0,2,0,1,0,4,0,10,0,24,0
02:00,4,0,2,0,27,0,19,0,4,0,4,0,34,0
03:00,94,0,47,0,89,0,61,0,91,0,80,0,174,0
04:00,108,0,104,0,50,0,59,0,104,0,140,0,400,0
05:00,117,0,85,0,76,0,88,0,133,0,76,0,102,0
06:00,344,0,333,0,293,0,326,0,295,0,207,0,103,0
07:00,697,0,722,0,795,0,896,0,433,0,441,0,123,0
08:00,2545,0,1660,0,2765,0,2788,0,3353,0,984,0,324,0
09:00,2670,0,1784,0,2997,0,2802,0,3034,0,1586,0,549,0
10:00,3014,0,2922,0,2859,0,3011,0,4873,0,2875,0,1451,0
11:00,4053,0,3627,0,4654,0,4187,0,5661,0,5270,0,2583,0
12:00,5630,0,5683,0,5708,0,5343,0,7341,0,7154,0,3593,0
13:00,7036,0,6935,0,7414,0,6545,0,8214,0,6973,0,4893,0
14:00,6419,0,6838,0,7271,0,6311,0,6115,0,6490,0,5282,0
15:00,6662,0,6893,0,7321,0,7061,0,7836,0,9131,0,5605,0
16:00,8048,0,7580,0,7836,0,8858,0,8205,0,9057,0,5787,0
17:00,7924,0,7904,0,8538,0,9097,0,8714,0,7981,0,4890,0
18:00,5222,0,5613,0,6356,0,8124,0,5542,0,5326,0,4141,0
19:00,2442,0,2430,0,2382,0,4965,0,2702,0,2658,0,2152,0
20:00,1250,0,1464,0,1647,0,2998,0,1664,0,1166,0,1422,0
21:00,790,0,996,0,1038,0,1448,0,1174,0,632,0,934,0
22:00,92,0,266,0,265,0,243,0,116,0,74,0,240,0
23:00,18,0,18,0,11,0,14,0,9,0,55,0,46,0
,,,,,,,,,,,,,,
Entrance Name: Henry Street at Butlers,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,161,0,108,0,112,0,190,0,190,0,305,0,319,0
01:00,76,0,76,0,79,0,83,0,82,0,218,0,200,0
02:00,100,0,55,0,122,0,45,0,56,0,138,0,164,0
03:00,123,0,139,0,83,0,97,0,82,0,166,0,217,0
04:00,101,0,96,0,128,0,119,0,125,0,85,0,82,0
05:00,282,0,305,0,290,0,270,0,238,0,149,0,111,0
06:00,524,0,553,0,624,0,497,0,575,0,272,0,141,0
07:00,668,0,1175,0,1276,0,602,0,951,0,386,0,223,0
08:00,1423,0,1973,0,2420,0,1106,0,1906,0,1139,0,400,0
09:00,1756,0,2311,0,3071,0,2271,0,2697,0,2325,0,974,0
10:00,3187,0,3834,0,3763,0,3381,0,3719,0,4335,0,1828,0
11:00,4576,0,4925,0,4758,0,4324,0,4944,0,6208,0,2902,0
12:00,6242,0,6158,0,5588,0,5508,0,6467,0,8526,0,4438,0
13:00,7094,0,7227,0,6606,0,6372,0,8014,0,9960,0,5941,0
14:00,6664,0,6470,0,5919,0,6831,0,7074,0,11021,0,7079,0
15:00,7296,0,7230,0,6259,0,7351,0,7489,0,10873,0,7213,0
16:00,6083,0,7372,0,6869,0,8166,0,8071,0,10285,0,6814,0
17:00,7242,0,7379,0,7484,0,8807,0,7915,0,8256,0,7067,0
18:00,4892,0,4596,0,5054,0,7530,0,5471,0,5248,0,3858,0
19:00,1734,0,1772,0,1978,0,4873,0,2761,0,2352,0,1558,0
20:00,990,0,1026,0,1167,0,3116,0,1416,0,1178,0,934,0
21:00,733,0,724,0,872,0,1355,0,1037,0,891,0,758,0
22:00,335,0,475,0,536,0,553,0,582,0,522,0,429,0
23:00,202,0,303,0,329,0,341,0,412,0,367,0,315,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Korkys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,452,0,280,0,356,0,516,0,610,0,910,0,819,0
01:00,246,0,188,0,129,0,162,0,294,0,722,0,605,0
02:00,111,0,95,0,131,0,129,0,225,0,405,0,483,0
03:00,97,0,96,0,111,0,145,0,228,0,588,0,864,0
04:00,183,0,121,0,137,0,147,0,151,0,288,0,500,0
05:00,150,0,177,0,253,0,201,0,277,0,245,0,180,0
06:00,475,0,423,0,448,0,445,0,373,0,518,0,198,0
07:00,684,0,1061,0,873,0,360,0,849,0,766,0,239,0
08:00,1912,0,2571,0,1965,0,846,0,2114,0,741,0,265,0
09:00,2159,0,2235,0,2107,0,2179,0,2324,0,880,0,383,0
10:00,2120,0,2007,0,2014,0,2631,0,3019,0,1992,0,1158,0
11:00,2795,0,2354,0,3068,0,3240,0,3793,0,5147,0,1965,0
12:00,5417,0,4484,0,6100,0,4409,0,8506,0,8528,0,4097,0
13:00,11780,0,8674,0,10460,0,8140,0,13885,0,11520,0,6178,0
14:00,8388,0,7510,0,8329,0,6611,0,9538,0,11672,0,8250,0
15:00,8106,0,7178,0,7183,0,6667,0,8558,0,13557,0,7902,0
16:00,7568,0,7097,0,7428,0,8421,0,9698,0,12812,0,7708,0
17:00,9221,0,9447,0,8507,0,9736,0,11002,0,9236,0,7333,0
18:00,6650,0,7084,0,6016,0,10812,0,7486,0,4903,0,3762,0
19:00,2636,0,2593,0,2146,0,6194,0,3250,0,2506,0,2117,0
20:00,1172,0,1523,0,1547,0,3153,0,1934,0,1396,0,1405,0
21:00,960,0,1005,0,1093,0,1787,0,1329,0,1107,0,787,0
22:00,901,0,952,0,1105,0,1334,0,1422,0,1288,0,730,0
23:00,509,0,600,0,772,0,816,0,1003,0,1135,0,652,0
