"Hourly By Entrance - Week 21, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,445,0,310,0,334,0,546,0,795,0,1126,0,1263,0
01:00,187,0,113,0,117,0,249,0,350,0,680,0,808,0
02:00,174,0,108,0,149,0,129,0,234,0,464,0,727,0
03:00,159,0,205,0,99,0,266,0,232,0,493,0,1026,0
04:00,81,0,74,0,69,0,95,0,162,0,228,0,403,0
05:00,78,0,81,0,143,0,95,0,122,0,63,0,65,0
06:00,504,0,506,0,482,0,459,0,588,0,212,0,120,0
07:00,1201,0,1233,0,1078,0,1138,0,1195,0,472,0,169,0
08:00,2164,0,2264,0,2269,0,2445,0,2597,0,751,0,303,0
09:00,2035,0,1965,0,2172,0,2061,0,2350,0,1414,0,691,0
10:00,2210,0,1950,0,2146,0,2040,0,2587,0,2485,0,1130,0
11:00,2427,0,2247,0,2172,0,2278,0,2795,0,2739,0,1445,0
12:00,3186,0,2977,0,3183,0,3137,0,3654,0,3236,0,2198,0
13:00,3621,0,3949,0,4605,0,3868,0,4875,0,4271,0,3000,0
14:00,2968,0,4119,0,4101,0,3350,0,5784,0,4339,0,3242,0
15:00,3092,0,3986,0,3578,0,4367,0,6327,0,5271,0,2604,0
16:00,3701,0,4476,0,4111,0,5454,0,6500,0,6134,0,2738,0
17:00,4736,0,5977,0,5050,0,5629,0,6305,0,6584,0,2720,0
18:00,2814,0,4297,0,3274,0,4059,0,4286,0,6486,0,2411,0
19:00,1839,0,1852,0,2015,0,2685,0,2904,0,3443,0,1944,0
20:00,1419,0,1419,0,1232,0,1761,0,2124,0,2033,0,1592,0
21:00,1056,0,1236,0,933,0,1475,0,1899,0,2159,0,1157,0
22:00,1185,0,1265,0,1322,0,1846,0,2137,0,5760,0,1378,0
23:00,865,0,731,0,1272,0,1377,0,1779,0,2302,0,1008,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,491,0,422,0,788,0,1048,0,1845,0,2585,0,3085,0
01:00,256,0,134,0,311,0,557,0,958,0,1780,0,2313,0
02:00,163,0,88,0,165,0,390,0,469,0,1254,0,1676,0
03:00,89,0,194,0,204,0,519,0,452,0,1720,0,2693,0
04:00,106,0,130,0,0,0,280,0,282,0,1134,0,1378,0
05:00,229,0,205,0,195,0,309,0,212,0,237,0,164,0
06:00,804,0,609,0,676,0,631,0,748,0,479,0,169,0
07:00,1396,0,1545,0,1404,0,1399,0,1548,0,470,0,264,0
08:00,2473,0,2866,0,2758,0,2048,0,2311,0,863,0,350,0
09:00,2084,0,2254,0,2507,0,2198,0,2583,0,1585,0,762,0
10:00,1860,0,2490,0,2638,0,2424,0,2884,0,3369,0,1619,0
11:00,4412,0,3357,0,3784,0,3829,0,4946,0,6941,0,3073,0
12:00,6097,0,5727,0,6066,0,6311,0,8208,0,9034,0,4675,0
13:00,9532,0,9262,0,10110,0,8581,0,11089,0,10545,0,7236,0
14:00,6306,0,7097,0,7913,0,6775,0,10070,0,11418,0,9044,0
15:00,5785,0,6045,0,6684,0,6462,0,9285,0,12072,0,9061,0
16:00,5843,0,5544,0,6160,0,7051,0,8555,0,10011,0,9376,0
17:00,6739,0,7898,0,8279,0,8972,0,9849,0,9144,0,6749,0
18:00,4874,0,5132,0,6438,0,8138,0,7030,0,5208,0,3252,0
19:00,2077,0,2596,0,2930,0,5060,0,3710,0,4743,0,1802,0
20:00,1424,0,1634,0,1394,0,3067,0,2356,0,2079,0,1301,0
21:00,1274,0,1289,0,1155,0,2084,0,2210,0,2048,0,1177,0
22:00,1167,0,1583,0,1295,0,1914,0,2973,0,4121,0,996,0
23:00,1028,0,1045,0,1909,0,1976,0,3411,0,3552,0,1191,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,284,0,213,0,242,0,290,0,552,0,766,0,1154,0
01:00,203,0,77,0,89,0,256,0,225,0,554,0,1048,0
02:00,145,0,87,0,98,0,183,0,162,0,658,0,1044,0
