"Hourly By Entrance - Week 46, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,321,0,317,0,261,0,413,0,580,0,829,0,975,0
01:00,204,0,96,0,104,0,141,0,255,0,550,0,530,0
02:00,140,0,157,0,96,0,103,0,379,0,485,0,619,0
03:00,77,0,147,0,71,0,173,0,363,0,350,0,919,0
04:00,96,0,77,0,31,0,87,0,176,0,156,0,182,0
05:00,130,0,152,0,142,0,165,0,181,0,78,0,84,0
06:00,492,0,477,0,499,0,716,0,617,0,272,0,203,0
07:00,735,0,811,0,1297,0,1325,0,1062,0,493,0,233,0
08:00,0,0,0,0,3070,0,2616,0,2112,0,1037,0,366,0
09:00,0,0,0,0,2534,0,2564,0,2038,0,1637,0,830,0
10:00,1867,0,853,0,2176,0,2689,0,2331,0,2534,0,1321,0
11:00,4701,0,4317,0,2349,0,2900,0,5082,0,3535,0,1741,0
12:00,7610,0,6084,0,2811,0,3545,0,5729,0,4308,0,2337,0
13:00,9478,0,8683,0,3453,0,4274,0,4997,0,4505,0,2303,0
14:00,2837,0,2278,0,2719,0,3709,0,3982,0,5231,0,2622,0
15:00,2713,0,2875,0,2801,0,3701,0,3878,0,6927,0,2771,0
16:00,3109,0,3519,0,3269,0,4280,0,4246,0,7253,0,3382,0
17:00,4397,0,4791,0,4929,0,4836,0,5633,0,5660,0,3858,0
18:00,3094,0,3639,0,3566,0,4062,0,4254,0,3826,0,3048,0
19:00,1933,0,2063,0,2120,0,2702,0,2994,0,9808,0,2316,0
20:00,1355,0,1721,0,1836,0,2480,0,2457,0,7075,0,1948,0
21:00,1382,0,1300,0,1334,0,1751,0,2044,0,3858,0,1623,0
22:00,1069,0,1038,0,1205,0,1579,0,1903,0,2900,0,1265,0
23:00,824,0,691,0,876,0,1072,0,1575,0,2165,0,819,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,342,0,459,0,583,0,969,0,1148,0,2213,0,3569,0
01:00,174,0,232,0,176,0,684,0,506,0,1530,0,2132,0
02:00,121,0,236,0,264,0,299,0,509,0,1659,0,1684,0
03:00,104,0,157,0,225,0,301,0,448,0,3113,0,3243,0
04:00,84,0,180,0,135,0,184,0,245,0,524,0,678,0
05:00,277,0,212,0,286,0,247,0,288,0,191,0,120,0
06:00,678,0,598,0,602,0,602,0,719,0,483,0,266,0
07:00,1154,0,1569,0,1422,0,1038,0,1540,0,604,0,243,0
08:00,2939,0,3236,0,2823,0,2983,0,2802,0,947,0,348,0
09:00,2787,0,2888,0,2685,0,3060,0,2795,0,1719,0,624,0
10:00,2397,0,2633,0,2786,0,2534,0,2999,0,3819,0,1451,0
11:00,3319,0,3488,0,4008,0,3581,0,4434,0,8191,0,3255,0
12:00,5669,0,5755,0,6651,0,6606,0,7446,0,10468,0,5838,0
13:00,9279,0,9632,0,9397,0,9930,0,10711,0,11059,0,7217,0
14:00,6649,0,6299,0,6322,0,7807,0,8747,0,11500,0,8334,0
15:00,6043,0,6016,0,6803,0,8156,0,8500,0,11949,0,9467,0
16:00,7204,0,7918,0,7862,0,9008,0,9928,0,12031,0,10950,0
17:00,10975,0,11310,0,11895,0,12320,0,12968,0,12146,0,11183,0
18:00,8211,0,8657,0,9642,0,12173,0,10608,0,8755,0,7443,0
19:00,3439,0,4247,0,5120,0,9598,0,6638,0,7794,0,4162,0
20:00,1668,0,2348,0,3165,0,6636,0,4483,0,7613,0,2355,0
21:00,1476,0,1859,0,2134,0,3142,0,3779,0,5835,0,1447,0
22:00,1096,0,1215,0,1833,0,2138,0,3620,0,5199,0,1288,0
23:00,1453,0,910,0,1559,0,2010,0,2856,0,5544,0,946,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,753,0,321,0,465,0,800,0,656,0,845,0,1512,0
01:00,474,0,144,0,190,0,359,0,262,0,607,0,1369,0
02:00,612,0,171,0,165,0,317,0,187,0,721,0,1364,0
03:00,769,0,131,0,178,0,540,0,244,0,1101,0,1641,0
