"Hourly By Entrance - Week 34, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,397,0,295,0,510,0,813,0,948,0,927,0,721,0
01:00,248,0,191,0,172,0,709,0,402,0,450,0,567,0
02:00,135,0,219,0,145,0,318,0,327,0,461,0,519,0
03:00,118,0,168,0,130,0,308,0,306,0,366,0,674,0
04:00,88,0,79,0,75,0,77,0,75,0,128,0,156,0
05:00,139,0,123,0,126,0,157,0,182,0,78,0,84,0
06:00,536,0,426,0,430,0,469,0,472,0,207,0,105,0
07:00,1473,0,992,0,966,0,978,0,889,0,424,0,219,0
08:00,2792,0,1864,0,1865,0,1882,0,1824,0,648,0,300,0
09:00,2205,0,1865,0,2037,0,1992,0,1671,0,1428,0,847,0
10:00,2919,0,2839,0,2420,0,2629,0,2163,0,2184,0,1488,0
11:00,3316,0,3453,0,3000,0,3241,0,2893,0,2766,0,3044,0
12:00,3642,0,3649,0,4004,0,4050,0,3933,0,3739,0,4993,0
13:00,4214,0,4069,0,4830,0,5302,0,4210,0,4845,0,4798,0
14:00,4180,0,4166,0,4779,0,4633,0,4335,0,4705,0,3991,0
15:00,4011,0,4012,0,4581,0,4473,0,4051,0,4530,0,4522,0
16:00,3896,0,4213,0,5441,0,5005,0,4567,0,4636,0,4436,0
17:00,5150,0,4542,0,5403,0,5379,0,4456,0,4282,0,7780,0
18:00,4248,0,3523,0,4434,0,4243,0,3451,0,3189,0,4080,0
19:00,2654,0,2285,0,2300,0,2525,0,2926,0,2126,0,2517,0
20:00,1977,0,1905,0,1876,0,2224,0,2125,0,1929,0,2077,0
21:00,1599,0,1570,0,1639,0,1967,0,2013,0,1998,0,1689,0
22:00,1434,0,1726,0,1715,0,1488,0,1969,0,2358,0,1528,0
23:00,927,0,958,0,1396,0,1055,0,1527,0,1281,0,944,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,429,0,584,0,783,0,1526,0,1580,0,2239,0,1855,0
01:00,357,0,201,0,213,0,724,0,687,0,1383,0,1440,0
02:00,204,0,130,0,224,0,435,0,516,0,1171,0,1369,0
03:00,152,0,202,0,145,0,495,0,470,0,1671,0,2276,0
04:00,116,0,122,0,208,0,143,0,238,0,504,0,798,0
05:00,243,0,259,0,263,0,248,0,274,0,194,0,183,0
06:00,550,0,640,0,599,0,542,0,607,0,352,0,116,0
07:00,1178,0,1268,0,1260,0,1310,0,1236,0,495,0,245,0
08:00,2582,0,2940,0,2077,0,2880,0,2569,0,799,0,350,0
09:00,2756,0,2593,0,2283,0,2312,0,1914,0,1515,0,669,0
10:00,3144,0,2903,0,3091,0,2535,0,1596,0,3164,0,1655,0
11:00,3836,0,4267,0,4421,0,5070,0,4907,0,6062,0,3840,0
12:00,5906,0,6868,0,7281,0,7772,0,8131,0,7376,0,5836,0
13:00,8962,0,9758,0,10366,0,10503,0,10201,0,8546,0,7376,0
14:00,8221,0,9480,0,8864,0,9209,0,9403,0,9634,0,8926,0
15:00,8167,0,8182,0,8924,0,8583,0,9256,0,9878,0,8673,0
16:00,7931,0,9114,0,8718,0,8787,0,9562,0,10119,0,6780,0
17:00,9195,0,9916,0,9822,0,10171,0,10036,0,10332,0,6949,0
18:00,5739,0,6767,0,7152,0,9287,0,7186,0,6145,0,5297,0
19:00,2875,0,3316,0,3746,0,6075,0,4149,0,3254,0,2517,0
20:00,1734,0,2549,0,2572,0,4252,0,3098,0,2746,0,2177,0
21:00,1425,0,2782,0,2440,0,3499,0,3365,0,3394,0,2084,0
22:00,1408,0,2317,0,2655,0,2691,0,3139,0,3048,0,1617,0
23:00,806,0,1030,0,1831,0,1668,0,2794,0,2484,0,1182,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,372,0,341,0,554,0,1154,0,627,0,748,0,1618,0
01:00,163,0,116,0,300,0,490,0,252,0,539,0,1467,0
02:00,93,0,115,0,191,0,555,0,181,0,641,0,1461,0
03:00,199,0,228,0,210,0,615,0,236,0,976,0,1757,0
04:00,142,0,127,0,177,0,174,0,167,0,285,0,1473,0
05:00,247,0,268,0,227,0,278,0,290,0,148,0,508,0
06:00,855,0,968,0,787,0,825,0,838,0,335,0,320,0
07:00,1514,0,1779,0,1541,0,1444,0,2029,0,448,0,389,0
08:00,3371,0,3774,0,2370,0,2176,0,4027,0,744,0,538,0
09:00,2700,0,3159,0,2111,0,2830,0,3477,0,1534,0,883,0
10:00,3031,0,3384,0,2866,0,3060,0,3789,0,3676,0,1751,0
11:00,4525,0,4803,0,4230,0,4263,0,5407,0,7360,0,3760,0
12:00,6372,0,7194,0,8195,0,7846,0,9679,0,9626,0,5953,0
13:00,9028,0,10422,0,12996,0,11204,0,13727,0,11642,0,6941,0
14:00,7403,0,8626,0,9605,0,9600,0,9172,0,12237,0,6696,0
15:00,7853,0,9031,0,8880,0,8864,0,7855,0,10540,0,7471,0
16:00,7996,0,9142,0,7556,0,9253,0,7913,0,8362,0,6699,0
17:00,8833,0,10256,0,8068,0,10746,0,11133,0,8168,0,6394,0
18:00,6041,0,7108,0,6844,0,10761,0,8313,0,6359,0,4789,0
19:00,3179,0,3714,0,3556,0,7001,0,3621,0,3302,0,2618,0
20:00,2242,0,2521,0,2710,0,4246,0,2258,0,2551,0,1482,0
21:00,1771,0,2102,0,1961,0,2670,0,1757,0,1999,0,1020,0
22:00,1463,0,1646,0,2029,0,2130,0,1250,0,1696,0,780,0
23:00,757,0,907,0,1648,0,1769,0,957,0,1446,0,647,0
,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Easons,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,213,0,184,0,179,0,136,0,192,0,218,0,723,0
01:00,174,0,159,0,152,0,159,0,226,0,236,0,594,0
02:00,118,0,122,0,125,0,132,0,159,0,294,0,695,0
03:00,82,0,107,0,114,0,112,0,123,0,375,0,784,0
04:00,63,0,52,0,37,0,98,0,109,0,179,0,408,0
05:00,82,0,80,0,80,0,98,0,81,0,89,0,105,0
06:00,286,0,282,0,274,0,272,0,265,0,172,0,97,0
07:00,988,0,702,0,668,0,685,0,588,0,291,0,146,0
08:00,2397,0,1778,0,1405,0,1706,0,1646,0,744,0,215,0
09:00,2272,0,2024,0,2243,0,2217,0,1798,0,1290,0,753,0
10:00,3268,0,3933,0,3008,0,3562,0,4175,0,2960,0,2375,0
11:00,4134,0,4830,0,4364,0,5342,0,4657,0,4858,0,5160,0
12:00,4658,0,6172,0,6710,0,7368,0,6664,0,7080,0,6283,0
13:00,6789,0,7776,0,8406,0,8465,0,7923,0,8834,0,4594,0
14:00,6156,0,7238,0,8154,0,8486,0,7351,0,8877,0,5002,0
15:00,7614,0,8126,0,8067,0,8507,0,8112,0,9254,0,5112,0
16:00,8264,0,8743,0,8016,0,9217,0,8922,0,8754,0,4386,0
17:00,9199,0,8865,0,8857,0,10132,0,8537,0,8644,0,6369,0
18:00,6447,0,6212,0,6135,0,7637,0,6427,0,5444,0,4101,0
19:00,2702,0,2857,0,2846,0,3930,0,3574,0,2668,0,2168,0
20:00,1234,0,1675,0,1728,0,2637,0,2036,0,1589,0,1852,0
21:00,916,0,983,0,1039,0,1014,0,1145,0,1132,0,1036,0
22:00,775,0,807,0,804,0,798,0,834,0,824,0,845,0
23:00,609,0,624,0,718,0,634,0,679,0,691,0,659,0
,,,,,,,,,,,,,,
Entrance Name: Henry Street at Butlers,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,134,0,119,0,127,0,167,0,139,0,244,0,231,0
01:00,76,0,92,0,64,0,116,0,125,0,190,0,188,0
02:00,106,0,69,0,76,0,59,0,100,0,161,0,215,0
