"Hourly By Entrance - Week 29, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,408,0,450,0,365,0,387,0,564,0,853,0,1020,0
01:00,415,0,171,0,346,0,154,0,290,0,553,0,565,0
02:00,204,0,173,0,152,0,133,0,239,0,425,0,498,0
03:00,216,0,145,0,154,0,205,0,261,0,395,0,596,0
04:00,76,0,37,0,52,0,72,0,77,0,163,0,321,0
05:00,108,0,108,0,90,0,110,0,110,0,79,0,83,0
06:00,429,0,426,0,425,0,400,0,545,0,277,0,123,0
07:00,1037,0,992,0,942,0,1010,0,1168,0,476,0,227,0
08:00,2356,0,2088,0,2061,0,2145,0,2641,0,739,0,361,0
09:00,2014,0,1932,0,2064,0,1824,0,2209,0,1442,0,716,0
10:00,2362,0,2192,0,2345,0,2061,0,2299,0,2132,0,1439,0
11:00,3019,0,2568,0,2678,0,2704,0,2599,0,2706,0,1823,0
12:00,3437,0,3409,0,3416,0,3309,0,3279,0,3836,0,2758,0
13:00,4262,0,5041,0,4878,0,4014,0,4345,0,4556,0,3779,0
14:00,3659,0,5352,0,3801,0,4029,0,4220,0,6235,0,4732,0
15:00,3900,0,5034,0,4019,0,3992,0,4371,0,5425,0,4520,0
16:00,3919,0,6280,0,3792,0,4397,0,4734,0,4733,0,3233,0
17:00,4821,0,7412,0,4425,0,4927,0,4732,0,5282,0,3345,0
18:00,3413,0,4972,0,3095,0,3706,0,3087,0,6088,0,7236,0
19:00,2105,0,2073,0,2046,0,2486,0,2421,0,3094,0,2542,0
20:00,1524,0,1684,0,1557,0,2322,0,1994,0,2444,0,2498,0
21:00,1328,0,1352,0,1179,0,1637,0,1657,0,1835,0,1655,0
22:00,1298,0,1419,0,1425,0,1571,0,1891,0,2511,0,1635,0
23:00,945,0,963,0,968,0,1088,0,1634,0,2084,0,1143,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,440,0,498,0,730,0,958,0,1697,0,1715,0,2176,0
01:00,395,0,197,0,177,0,301,0,393,0,1125,0,1568,0
02:00,163,0,180,0,208,0,257,0,375,0,994,0,1160,0
03:00,117,0,128,0,122,0,253,0,249,0,1193,0,2118,0
04:00,161,0,156,0,644,0,93,0,246,0,551,0,1192,0
05:00,270,0,215,0,505,0,134,0,219,0,191,0,167,0
06:00,544,0,669,0,519,0,597,0,552,0,419,0,164,0
07:00,994,0,1080,0,1249,0,1019,0,1376,0,534,0,259,0
08:00,2329,0,2867,0,3029,0,2531,0,2738,0,822,0,324,0
09:00,2884,0,2674,0,2676,0,2437,0,2473,0,1567,0,668,0
10:00,2538,0,2820,0,2892,0,2384,0,2738,0,3112,0,1709,0
11:00,3685,0,4519,0,3791,0,4223,0,4531,0,6592,0,3752,0
12:00,5987,0,7753,0,6128,0,6514,0,6115,0,8348,0,6115,0
13:00,9309,0,10367,0,9094,0,9773,0,9806,0,9907,0,7930,0
14:00,8164,0,9539,0,8139,0,8293,0,9306,0,10931,0,8613,0
15:00,7802,0,8415,0,8289,0,7697,0,9364,0,11516,0,8834,0
16:00,8548,0,6191,0,8102,0,8465,0,9019,0,10637,0,8369,0
17:00,8840,0,8794,0,9262,0,10048,0,9939,0,9593,0,7116,0
18:00,5808,0,6573,0,7106,0,9355,0,7240,0,6483,0,4508,0
19:00,2869,0,3520,0,3617,0,7092,0,4076,0,3529,0,2289,0
20:00,1834,0,1875,0,2066,0,4556,0,2448,0,2284,0,1631,0
21:00,1289,0,1364,0,1503,0,2443,0,2173,0,2579,0,1423,0
22:00,1989,0,1885,0,2007,0,3262,0,3242,0,3768,0,1626,0
23:00,1133,0,1423,0,1266,0,2099,0,2449,0,2990,0,1119,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,421,0,396,0,402,0,662,0,631,0,804,0,1435,0
01:00,257,0,121,0,156,0,330,0,255,0,579,0,1302,0
02:00,87,0,82,0,123,0,207,0,184,0,690,0,1298,0
03:00,85,0,299,0,223,0,268,0,240,0,1049,0,1560,0
