"Hourly By Entrance - Week 17, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,339,0,302,0,363,0,497,0,674,0,1146,0,1201,0
01:00,182,0,132,0,120,0,170,0,269,0,615,0,728,0
02:00,138,0,129,0,102,0,188,0,196,0,405,0,583,0
03:00,157,0,90,0,95,0,132,0,166,0,420,0,805,0
04:00,87,0,98,0,52,0,92,0,127,0,205,0,268,0
05:00,171,0,118,0,99,0,153,0,157,0,68,0,138,0
06:00,598,0,559,0,454,0,565,0,593,0,212,0,90,0
07:00,1358,0,1235,0,1151,0,1217,0,1199,0,456,0,137,0
08:00,2613,0,2354,0,2367,0,2462,0,2546,0,828,0,305,0
09:00,2255,0,1850,0,2004,0,1941,0,3016,0,1591,0,709,0
10:00,2319,0,1983,0,2420,0,2228,0,3717,0,2678,0,1275,0
11:00,2638,0,2121,0,2119,0,2381,0,3698,0,3636,0,1911,0
12:00,2986,0,3364,0,3382,0,3090,0,3964,0,3380,0,2109,0
13:00,4728,0,3857,0,5043,0,3911,0,4032,0,3688,0,2339,0
14:00,4697,0,4565,0,4094,0,3842,0,4198,0,4041,0,2468,0
15:00,5114,0,5067,0,4081,0,5038,0,5093,0,4283,0,2371,0
16:00,5941,0,4358,0,4670,0,4982,0,4702,0,4000,0,2709,0
17:00,5952,0,5134,0,5720,0,6354,0,4444,0,3708,0,3999,0
18:00,5425,0,3082,0,3531,0,5326,0,3466,0,2975,0,2345,0
19:00,2039,0,1907,0,2059,0,2685,0,2764,0,2487,0,1723,0
20:00,1627,0,1532,0,1434,0,2458,0,2184,0,2202,0,1617,0
21:00,1533,0,1496,0,1655,0,1973,0,2297,0,2359,0,1667,0
22:00,1337,0,1421,0,1423,0,1616,0,2125,0,2297,0,1312,0
23:00,873,0,801,0,1142,0,1029,0,1538,0,1883,0,761,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,279,0,521,0,525,0,831,0,1144,0,2727,0,2741,0
01:00,170,0,138,0,221,0,275,0,473,0,1799,0,1919,0
02:00,149,0,149,0,106,0,179,0,362,0,1437,0,1692,0
03:00,66,0,123,0,103,0,253,0,278,0,1879,0,2622,0
04:00,91,0,115,0,144,0,206,0,192,0,769,0,1583,0
05:00,261,0,295,0,252,0,322,0,347,0,254,0,232,0
06:00,742,0,651,0,653,0,617,0,758,0,410,0,250,0
07:00,1401,0,1551,0,1342,0,1358,0,1264,0,561,0,222,0
08:00,3051,0,3830,0,2336,0,2504,0,2797,0,909,0,328,0
09:00,2471,0,3217,0,1963,0,2082,0,2835,0,1959,0,744,0
10:00,2657,0,2537,0,2746,0,2024,0,3159,0,3841,0,1785,0
11:00,3760,0,3511,0,3814,0,4138,0,4679,0,7340,0,3534,0
12:00,5899,0,5765,0,5714,0,6006,0,7636,0,9508,0,5183,0
13:00,9766,0,9946,0,10261,0,9098,0,9793,0,10326,0,7092,0
14:00,7987,0,8590,0,8299,0,6660,0,8456,0,10630,0,8823,0
15:00,6818,0,6710,0,6988,0,6276,0,9077,0,11308,0,9013,0
