"Hourly By Entrance - Week 32, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,496,0,466,0,362,0,413,0,627,0,863,0,791,0
01:00,285,0,142,0,237,0,233,0,296,0,520,0,520,0
02:00,340,0,141,0,118,0,161,0,242,0,480,0,482,0
03:00,506,0,176,0,131,0,288,0,362,0,442,0,794,0
04:00,151,0,41,0,94,0,68,0,138,0,176,0,244,0
05:00,45,0,124,0,136,0,109,0,111,0,89,0,67,0
06:00,133,0,591,0,624,0,430,0,550,0,261,0,113,0
07:00,206,0,1405,0,1419,0,996,0,1020,0,519,0,178,0
08:00,548,0,2790,0,2732,0,2280,0,1916,0,931,0,345,0
09:00,732,0,2638,0,2820,0,2120,0,1858,0,1501,0,1014,0
10:00,1365,0,2662,0,3213,0,2603,0,2486,0,3367,0,2613,0
11:00,1609,0,3295,0,3528,0,3272,0,3073,0,3250,0,4399,0
12:00,1875,0,4217,0,4247,0,3961,0,3726,0,4577,0,5583,0
13:00,2277,0,4130,0,4875,0,5000,0,4238,0,5429,0,5213,0
14:00,2787,0,3763,0,4551,0,4573,0,3979,0,4909,0,3101,0
15:00,2811,0,3833,0,4460,0,4282,0,3790,0,4131,0,2716,0
16:00,2647,0,4240,0,4460,0,4476,0,4227,0,4064,0,2902,0
17:00,2792,0,4320,0,4832,0,4922,0,4916,0,4929,0,7134,0
18:00,2666,0,3393,0,4579,0,3826,0,3456,0,6582,0,8758,0
19:00,2080,0,2048,0,2363,0,3238,0,2594,0,3818,0,3176,0
20:00,1598,0,1645,0,1725,0,2574,0,2176,0,2887,0,2386,0
21:00,1610,0,1461,0,1593,0,1686,0,2019,0,2077,0,1767,0
22:00,1547,0,1730,0,1596,0,1561,0,2207,0,2190,0,1630,0
23:00,1021,0,896,0,1038,0,1059,0,1494,0,1398,0,1033,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1396,0,507,0,567,0,942,0,821,0,2044,0,1626,0
