"Hourly By Entrance - Week 5, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,293,0,220,0,225,0,356,0,541,0,855,0,779,0
01:00,140,0,99,0,91,0,130,0,308,0,398,0,507,0
02:00,118,0,124,0,101,0,144,0,250,0,387,0,597,0
03:00,106,0,80,0,81,0,128,0,166,0,354,0,870,0
04:00,40,0,79,0,42,0,354,0,89,0,118,0,252,0
05:00,140,0,148,0,141,0,206,0,152,0,92,0,80,0
06:00,630,0,626,0,708,0,662,0,636,0,250,0,115,0
07:00,1275,0,1302,0,1435,0,1466,0,1322,0,456,0,184,0
08:00,2331,0,2447,0,2618,0,2682,0,2210,0,735,0,280,0
09:00,1897,0,3114,0,2689,0,2079,0,1967,0,1480,0,659,0
10:00,1893,0,2604,0,2432,0,1972,0,2134,0,926,0,1327,0
11:00,3576,0,2566,0,2542,0,2176,0,3775,0,3148,0,1599,0
12:00,4337,0,3332,0,3043,0,2815,0,7269,0,5678,0,1872,0
13:00,4539,0,3758,0,3247,0,5508,0,8693,0,8846,0,2034,0
14:00,2932,0,2544,0,2738,0,3455,0,6745,0,6354,0,2267,0
15:00,2710,0,2908,0,2889,0,2735,0,3829,0,7001,0,2124,0
16:00,2946,0,3114,0,3099,0,2840,0,4074,0,8112,0,2002,0
17:00,3857,0,4010,0,4364,0,3651,0,4697,0,5805,0,2366,0
18:00,3156,0,3238,0,3510,0,3367,0,3558,0,4050,0,2052,0
19:00,1767,0,2090,0,2172,0,2276,0,2269,0,2915,0,1775,0
20:00,1423,0,1698,0,1776,0,2094,0,1934,0,2255,0,1675,0
21:00,1058,0,1176,0,1238,0,1278,0,1517,0,1976,0,1272,0
22:00,980,0,945,0,1223,0,956,0,1609,0,1913,0,1059,0
23:00,578,0,603,0,717,0,830,0,1194,0,1345,0,598,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,466,0,419,0,467,0,636,0,948,0,1742,0,3493,0
01:00,365,0,207,0,249,0,242,0,385,0,1046,0,1991,0
02:00,192,0,192,0,188,0,256,0,368,0,1069,0,2182,0
03:00,110,0,245,0,188,0,264,0,398,0,1652,0,3161,0
04:00,144,0,161,0,146,0,415,0,240,0,592,0,984,0
05:00,317,0,400,0,393,0,425,0,383,0,250,0,193,0
06:00,884,0,879,0,889,0,963,0,848,0,410,0,169,0
07:00,2192,0,2141,0,1177,0,2036,0,1791,0,677,0,291,0
08:00,3875,0,4373,0,2416,0,3908,0,3612,0,838,0,297,0
09:00,2981,0,3559,0,2594,0,2644,0,3166,0,1523,0,623,0
10:00,2329,0,2438,0,2249,0,2602,0,3000,0,4400,0,1338,0
11:00,3359,0,3346,0,3047,0,3271,0,3558,0,7993,0,2412,0
12:00,6136,0,4794,0,5761,0,5527,0,7017,0,9389,0,4029,0
13:00,9300,0,7977,0,9255,0,8757,0,9544,0,9113,0,4761,0
14:00,7085,0,5568,0,5996,0,7503,0,8406,0,8656,0,5003,0
15:00,5246,0,5255,0,5667,0,4926,0,7179,0,9364,0,5634,0
16:00,6849,0,6826,0,6789,0,5845,0,8435,0,10562,0,6523,0
17:00,10961,0,11137,0,11390,0,11097,0,11968,0,11800,0,6963,0
18:00,8556,0,8880,0,9373,0,12005,0,10160,0,8997,0,4383,0
