"Hourly By Entrance - Week 19, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,669,0,298,0,367,0,474,0,642,0,872,0,1013,0
01:00,406,0,108,0,119,0,185,0,332,0,694,0,625,0
02:00,370,0,127,0,79,0,94,0,282,0,407,0,455,0
03:00,553,0,229,0,72,0,191,0,333,0,437,0,726,0
04:00,313,0,107,0,63,0,91,0,136,0,183,0,270,0
05:00,51,0,112,0,154,0,79,0,139,0,124,0,82,0
06:00,114,0,517,0,470,0,587,0,681,0,320,0,106,0
07:00,256,0,1101,0,1069,0,1257,0,1409,0,556,0,155,0
08:00,417,0,2163,0,2087,0,2313,0,2405,0,805,0,338,0
09:00,633,0,1823,0,1810,0,2307,0,2153,0,1411,0,621,0
10:00,1015,0,1935,0,2265,0,1907,0,2227,0,2592,0,1092,0
11:00,1262,0,2324,0,2222,0,2108,0,2513,0,2848,0,1419,0
12:00,2290,0,3734,0,3799,0,3131,0,3197,0,3029,0,1931,0
13:00,3161,0,5013,0,5212,0,4865,0,3925,0,3211,0,2412,0
14:00,3920,0,4296,0,4996,0,4500,0,3600,0,3387,0,2813,0
15:00,4599,0,4840,0,5505,0,4363,0,3712,0,3649,0,2817,0
16:00,4694,0,5838,0,6400,0,3914,0,3679,0,3595,0,3158,0
17:00,6491,0,6455,0,8953,0,4888,0,4014,0,3696,0,2664,0
18:00,5961,0,4250,0,6507,0,3890,0,3107,0,2658,0,2101,0
19:00,1498,0,1852,0,1921,0,2308,0,2452,0,2117,0,1796,0
20:00,1425,0,1564,0,1696,0,2032,0,2045,0,1942,0,1502,0
21:00,1083,0,1338,0,1273,0,1665,0,1715,0,1775,0,1424,0
22:00,1231,0,1233,0,1371,0,1384,0,1950,0,2222,0,1359,0
23:00,803,0,834,0,1206,0,914,0,1527,0,1774,0,860,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,1271,0,405,0,432,0,695,0,941,0,2229,0,2296,0
01:00,836,0,206,0,202,0,250,0,504,0,1450,0,1716,0
02:00,674,0,139,0,84,0,188,0,572,0,1064,0,1452,0
03:00,1161,0,99,0,100,0,160,0,256,0,1132,0,2684,0
04:00,890,0,113,0,162,0,165,0,148,0,601,0,2517,0
05:00,169,0,219,0,232,0,273,0,360,0,1019,0,387,0
06:00,139,0,653,0,650,0,683,0,820,0,593,0,210,0
07:00,347,0,1103,0,1419,0,1439,0,1467,0,696,0,267,0
08:00,403,0,2078,0,3516,0,2819,0,3233,0,883,0,335,0
09:00,752,0,3038,0,2699,0,2281,0,3195,0,1725,0,724,0
10:00,1647,0,2938,0,2801,0,2820,0,3165,0,3239,0,1638,0
11:00,3156,0,3523,0,3539,0,3987,0,4157,0,6058,0,2788,0
12:00,4732,0,6070,0,5723,0,6447,0,7630,0,8919,0,5003,0
13:00,7378,0,10309,0,10376,0,10557,0,10479,0,9474,0,6952,0
14:00,9995,0,7991,0,8434,0,9059,0,7873,0,10374,0,9011,0
15:00,7350,0,6496,0,7004,0,8086,0,8483,0,11108,0,8432,0
16:00,6105,0,5514,0,5837,0,8039,0,9358,0,10751,0,7605,0
17:00,5559,0,8094,0,7728,0,9594,0,10371,0,9920,0,7264,0
18:00,3665,0,5874,0,5954,0,8962,0,7600,0,6347,0,4528,0
19:00,1807,0,2775,0,3133,0,6498,0,4240,0,3332,0,2260,0
20:00,1194,0,1641,0,1951,0,3941,0,2828,0,2226,0,1664,0
21:00,1107,0,1687,0,1693,0,2807,0,4078,0,2839,0,1389,0
22:00,1118,0,1326,0,1647,0,2015,0,3908,0,2836,0,1289,0
23:00,881,0,1132,0,1302,0,1718,0,3045,0,2894,0,1019,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at M&S,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,219,0,166,0,188,0,529,0,490,0,749,0,1139,0
01:00,142,0,55,0,84,0,109,0,201,0,542,0,1038,0
02:00,128,0,50,0,84,0,95,0,156,0,652,0,1027,0
03:00,81,0,118,0,152,0,98,0,199,0,991,0,1219,0
04:00,120,0,59,0,140,0,182,0,146,0,280,0,1116,0
05:00,248,0,252,0,208,0,270,0,245,0,147,0,393,0
06:00,777,0,859,0,865,0,876,0,719,0,329,0,239,0
07:00,1786,0,1332,0,1717,0,1468,0,1750,0,441,0,283,0
08:00,3345,0,3435,0,3605,0,2550,0,3483,0,712,0,390,0
