"Hourly By Entrance - Week 30, 2008",,,,,,,,,,,,,,
Location Address: Dublin BID,,,,,,,,,,,,,,
Entrance Name: O'Connell Street at Clerys,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,454,0,359,0,377,0,476,0,699,0,897,0,1087,0
01:00,199,0,142,0,141,0,155,0,338,0,551,0,564,0
02:00,213,0,187,0,213,0,190,0,347,0,380,0,531,0
03:00,150,0,201,0,186,0,267,0,313,0,459,0,591,0
04:00,112,0,35,0,54,0,63,0,125,0,171,0,261,0
05:00,108,0,114,0,107,0,111,0,115,0,89,0,86,0
06:00,485,0,432,0,466,0,395,0,408,0,222,0,119,0
07:00,953,0,924,0,961,0,916,0,906,0,420,0,228,0
08:00,1741,0,1858,0,1820,0,2022,0,2071,0,729,0,303,0
09:00,1593,0,1805,0,1802,0,1927,0,2042,0,1321,0,676,0
10:00,1748,0,2220,0,1952,0,2277,0,2407,0,2235,0,1332,0
11:00,2380,0,2585,0,2182,0,2614,0,2917,0,2571,0,1672,0
12:00,3272,0,3158,0,3597,0,3080,0,3565,0,3007,0,2381,0
13:00,4109,0,3764,0,4418,0,3860,0,4122,0,4159,0,3181,0
14:00,3758,0,3883,0,4044,0,4004,0,4063,0,4667,0,3614,0
15:00,3673,0,3806,0,4041,0,3533,0,3997,0,4453,0,3921,0
16:00,3556,0,3979,0,5400,0,4696,0,5114,0,4523,0,4235,0
17:00,4102,0,4703,0,6421,0,4655,0,5017,0,4432,0,4522,0
18:00,3351,0,3377,0,4617,0,4400,0,3213,0,3393,0,4432,0
19:00,2137,0,2174,0,2233,0,2997,0,2541,0,2777,0,2461,0
20:00,1519,0,1705,0,1844,0,2216,0,2329,0,2367,0,1821,0
21:00,1157,0,1272,0,1530,0,2055,0,2085,0,2068,0,1878,0
22:00,1347,0,1789,0,1766,0,1825,0,2261,0,2313,0,1919,0
23:00,846,0,950,0,895,0,1402,0,1730,0,1995,0,1190,0
,,,,,,,,,,,,,,
Entrance Name: Grafton St at Card Gallery,,,,,,,,,,,,,,
,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,
Time,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out
00:00,566,0,502,0,715,0,793,0,1386,0,2489,0,2840,0
01:00,378,0,237,0,250,0,330,0,634,0,1818,0,2053,0
02:00,232,0,687,0,182,0,251,0,478,0,1637,0,1592,0
03:00,219,0,861,0,95,0,262,0,303,0,1607,0,2600,0
04:00,304,0,318,0,131,0,129,0,242,0,877,0,2874,0
05:00,201,0,226,0,237,0,317,0,287,0,221,0,230,0
06:00,542,0,720,0,588,0,449,0,599,0,412,0,199,0
07:00,1257,0,802,0,1135,0,1292,0,1182,0,507,0,290,0
08:00,2479,0,1702,0,2015,0,2968,0,2908,0,907,0,320,0
09:00,2249,0,2271,0,1805,0,2614,0,2475,0,1761,0,714,0
10:00,1914,0,2407,0,2518,0,2895,0,2584,0,3108,0,1718,0
11:00,4035,0,3724,0,3798,0,3561,0,4183,0,5692,0,3341,0
12:00,6254,0,6626,0,6669,0,6260,0,6975,0,8639,0,5622,0
13:00,9767,0,10070,0,10278,0,9579,0,9962,0,9470,0,7992,0
14:00,8321,0,8050,0,9707,0,8015,0,8969,0,11201,0,9524,0
15:00,8113,0,7766,0,9059,0,8009,0,8698,0,11733,0,9729,0
16:00,8094,0,8156,0,7631,0,7975,0,8758,0,11335,0,8100,0
17:00,8696,0,8704,0,9350,0,9863,0,9377,0,9732,0,7437,0
18:00,6302,0,6888,0,6979,0,9309,0,6834,0,6876,0,5247,0
19:00,3049,0,3417,0,3590,0,6922,0,3609,0,3709,0,2683,0
20:00,1824,0,2038,0,2288,0,4766,0,2887,0,2324,0,2054,0
21:00,1420,0,1741,0,1548,0,2678,0,2964,0,2680,0,1654,0
22:00,1786,0,2151,0,1991,0,3073,0,2516,0,3954,0,1764,0
23:00,1085,0,1034,0,1439,0,2221,0,2866,0,4036,0,1540,0
,,,,,,,,,,,,,,
